GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4
IDN.9.14.1.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Campaka,NA,Kelurahan,Urban Community,3273180001
IDN.9.14.1.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Ciroyom,NA,Kelurahan,Urban Community,3273180005
IDN.9.14.1.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Dungus Cariang,NA,Kelurahan,Urban Community,3273180004
IDN.9.14.1.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Garuda,NA,Kelurahan,Urban Community,3273180003
IDN.9.14.1.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Kebon Jeruk,NA,Kelurahan,Urban Community,3273180006
IDN.9.14.1.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.1_1,Andir,Maleber,NA,Kelurahan,Urban Community,3273180002
IDN.9.14.2.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Kidul,NA,Kelurahan,Urban Community,3273141001
IDN.9.14.2.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Kulon,NA,Kelurahan,Urban Community,3273141004
IDN.9.14.2.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Tengah,NA,Kelurahan,Urban Community,3273141002
IDN.9.14.2.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.2_1,Antapani,Antapani Wetan,NA,Kelurahan,Urban Community,3273141003
IDN.9.14.3.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Cisaranten Bina Harapan,NA,Kelurahan,Urban Community,3273130002
IDN.9.14.3.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Cisaranten Endah,NA,Kelurahan,Urban Community,3273130005
IDN.9.14.3.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.3_1,Arcamanik,Cisaranten Kulon,NA,Kelurahan,Urban Community,3273130001
