ID Kecamatan,Kecamatan,ID Kelurahan,Kelurahan
IDN.9.14.1_1,Andir,IDN.9.14.1.1_1,Campaka
IDN.9.14.1_1,Andir,IDN.9.14.1.2_1,Ciroyom
IDN.9.14.1_1,Andir,IDN.9.14.1.3_1,Dungus Cariang
IDN.9.14.1_1,Andir,IDN.9.14.1.4_1,Garuda
IDN.9.14.1_1,Andir,IDN.9.14.1.5_1,Kebon Jeruk
IDN.9.14.1_1,Andir,IDN.9.14.1.6_1,Maleber
IDN.9.14.2_1,Antapani,IDN.9.14.2.1_1,Antapani Kidul
IDN.9.14.2_1,Antapani,IDN.9.14.2.2_1,Antapani Kulon
IDN.9.14.2_1,Antapani,IDN.9.14.2.3_1,Antapani Tengah
IDN.9.14.2_1,Antapani,IDN.9.14.2.4_1,Antapani Wetan
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.1_1,Cisaranten Bina Harapan
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.2_1,Cisaranten Endah
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.3_1,Cisaranten Kulon
IDN.9.14.3_1,Arcamanik,IDN.9.14.3.4_1,Sukamiskin
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.1_1,Cibadak
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.2_1,Karang Anyar
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.3_1,Karasak
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.4_1,Nyengseret
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.5_1,Panjunan
IDN.9.14.4_1,Astanaanyar,IDN.9.14.4.6_1,Pelindung Hewan
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.1_1,Babakan
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.2_1,Babakan Ciparay
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.3_1,Cirangrang
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.4_1,Margahayu Utara
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.5_1,Margasuka
IDN.9.14.5_1,Babakan Ciparay,IDN.9.14.5.6_1,Sukahaji
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.1_1,Batununggal
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.2_1,Kujangsari
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.3_1,Mengger
IDN.9.14.6_1,Bandung Kidul,IDN.9.14.6.4_1,Wates
