name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Warung Barokah (Ryan),"Gang Remaja V No.64, Babakan Tarogong",-6.927661499999999,107.5926823,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Gelasan Super Cap Laba-laba,"Jalan Terusan Pasirkoja, Gang H. Umar Jalan Babakan Tarogong No.20, RT.03/RW.02, Babakan Tarogong",-6.9272802,107.5927078,OPERATIONAL,4.8,17,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Pabrik Oncom Pa. H.Ikin,"3HCR+8F2, Jalan Babakan Irigasi, Babakan Tarogong",-6.929238100000001,107.5911437,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Yusqya,"Jl. Babakan irigasi no:118, Babakan Tarogong",-6.929451800000001,107.592409,OPERATIONAL,4.6,12,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Wijaya Dus,"3HFV+399, Jalan Babakan Irigasi, Babakan Tarogong",-6.9273463,107.5934958,OPERATIONAL,4.7,6,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen Bni Ibu Imas Diah,"3HCV+WFM, Babakan Tarogong",-6.927656999999999,107.5936624,OPERATIONAL,4,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Snack Shop Wholesale Accept the Gift Birthday DLL,"Jalan Babakan Irigasi No.305b, Babakan Tarogong",-6.9289846,107.593202,OPERATIONAL,4.3,12,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Hegar Barokah,"Jalan Babakan Irigasi Gang AMD VIII No.307/198A, RT.007/RW.003",-6.9288994,107.593464,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Pa Budi,"Jalan Babakan Irigasi RT.007/RW.007, Babakan Tarogong",-6.929727799999999,107.5926541,OPERATIONAL,4.6,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Bu Wiwi,"Asrama Den Intel dam, Jalan Babakan Tarogong No.25A",-6.9295318,107.5894988,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Jajanan De Azka,"Jalan Babakan Tarogong No.9, Suka Asih",-6.928197300000001,107.5885645,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko beras Rivarafasa,"Jalan Babakan Irigasi No.305, Babakan Tarogong",-6.9289701,107.5937491,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung pak nandang,"Jalan Babakan Tarogong, Gang Laksana I No 58, Kelurahan RT.02/RW.05, Babakan Tarogong",-6.930325400000001,107.5901141,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung ciwa,"Gang A.M.D II No.180, Babakan Tarogong",-6.9277383,107.5944703,OPERATIONAL,4.7,13,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Trio pikca kripik kaca,"Gang Laksana No.88, Babakan Tarogong",-6.9307061,107.5903359,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
