name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart,"Jalan Holis No.243-245, RT.01/RW.09, Babakan",-6.9368859,107.5704134,OPERATIONAL,3.1,34,"convenience_store, atm, supermarket, grocery_or_supermarket, store, finance, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Dorkas,"3H8G+3GJ, blok agersari, Jalan Polisi, Babakan",-6.9347992,107.5762724,CLOSED_TEMPORARILY,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
TOSERBA YOGYA,"Jalan Sumber Sari No.34, Babakan",-6.932219499999999,107.5756776,OPERATIONAL,4.7,127,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toserba Griya Sumbersari,"KOMP. SUMBERSARI INDAH, BLOK T1 - T3, Babakan",-6.931851399999999,107.5759565,OPERATIONAL,4.2,3430,"supermarket, atm, grocery_or_supermarket, store, finance, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen Bni Agus Soelistyo,"Jalan Sumber Asih No.7-43, Babakan",-6.9345105,107.5724746,OPERATIONAL,4.8,6,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
TOKO SAKHA,"Jalan Sumber Asih, Babakan",-6.931145300000001,107.5747944,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Alien,"Jalan Holis Jalan Cibuntu Selatan No.171i, Babakan",-6.934226999999999,107.571942,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Pabrik tempe sw,"3H9H+H48, Jalan Cibuntu Selatan RT.02/RW.07, Babakan",-6.9310896,107.5778274,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung asep saro,"3H9H+P33, Jalan Aki Padma, Babakan",-6.9307323,107.577667,OPERATIONAL,5,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart SPBU Terusan Pasir Koja,"Jln. Terusan Pasir Koja No. 395-351 Rt. 007 Rw. 007 Kel. Babakan, Sukahaji",-6.929694700000001,107.5794101,OPERATIONAL,3.3,3,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
