name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart Logam,"Ds. Margasenang, Jl. Logam, Kel Jalan Margacinta No.5, RT.04/RW.05, Cijaura",-6.95541,107.64388,OPERATIONAL,3.8,138,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Win mart,"Jalan Kencana Asri No.18 1 g, Cijaura",-6.958709900000001,107.6513054,OPERATIONAL,4.3,3,"store, supermarket, grocery_or_supermarket, food, point_of_interest, establishment",,{'open_now': True},Unknown
BORMA Toserba • Margacinta,"Jalan Margacinta No.220, Cijaura",-6.955750900000001,107.6519082,OPERATIONAL,4.4,5801,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen Galon Le Minerale TK Kenanga,"Jalan Bunga Bakung Raya No.21, Cijaura",-6.9567321,107.6476749,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen galon le minerale AR qua isi ulang,"Jalan Margacinta No.16, Cijaura",-6.955702700000001,107.6536732,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
WARUNG POJOK,"2MQ4+R6X, Jalan Cijaura Hilir, Cijaura",-6.9603765,107.6556123,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Sari,"Jalan Margawangi Raya Timur No.11, Cijaura",-6.962399400000001,107.6549703,OPERATIONAL,4.4,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Agen galon Le minerale Toko nissa,"Jalan Cijawura Hilir No.73b, Cijaura",-6.961123,107.6563875,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Warung surya laksana,"2MR4+2RG, Cijaura",-6.959939099999999,107.65707,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Layangan CFC,"Jalan Cijawura Hilir 12, Cijaura",-6.960622600000001,107.6577088,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen galon le minerale tk samosir,"2JRV+XGM, Jalan Logam, Cijaura",-6.957443899999999,107.6437756,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Toko indra,"Jalan Logam No.7, Cijaura",-6.9555658,107.6439913,OPERATIONAL,4.8,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
