name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Indomaret Pahlawan,"Jalan Pahlawan No.30, Cikutra",-6.8987485,107.634163,OPERATIONAL,3.6,31,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Apit,"3JWQ+HQM, Cikutra",-6.9035409,107.6394156,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Warung yasmin sukamulya,"Jalan Lemah Neundeut II No.146, Cikutra",-6.903987099999999,107.6403757,OPERATIONAL,1,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Ibu DedahMart,Cikutra,-6.902926899999999,107.6417879,OPERATIONAL,5,2,"grocery_or_supermarket, convenience_store, supermarket, meal_takeaway, store, restaurant, food, point_of_interest, establishment",,Unknown,Unknown
Warung Lince,Cikutra,-6.9044871,107.6393742,OPERATIONAL,5,9,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung pak rt 03,"Jalan Lemah Neundeut II kelurahan No.140, RT.03/RW.08, Cikutra",-6.9048509,107.6406049,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung pa alit,"3JWR+23F, Jalan Lemah Neundeut I No.RT.05, RT.02 RW07, Cikutra",-6.9049273,107.6401573,OPERATIONAL,4.3,9,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Arielmart,"Jalan Sekepanjang 1 No.30, Cikutra",-6.9044033,107.6422435,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Apo,"Jl. Leumah Neundet I No.138/142d Rt 08 Rw 07, Cikutra",-6.905609399999999,107.6405009,OPERATIONAL,3.6,10,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Alfamart Terusan Katamso,"Jl. Ters. Katamso No.08, RT.11/RW.13, Cikutra",-6.900991799999998,107.6374162,OPERATIONAL,3.2,35,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Kel, Jl. Ph.H Mustofa No.68 Kody, Cikutra",-6.899740100000001,107.6412368,OPERATIONAL,3.3,20,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Mamah Devi,"Jalan Sekepanjang 1 No.78, Cikutra",-6.9049521,107.6432499,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Eka Indra Gaia,"Jalan Cikutra Gang Sukarapih V No.1B, Cikutra",-6.901383099999999,107.6438029,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Bdg, Jalan Cikutra Kel No.39 - 41 Rt 01/11, Cikutra",-6.904521899999999,107.6437073,OPERATIONAL,3.7,20,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
BC Scientist,"Jalan Sekepanjang 2 No.1, Cikutra",-6.9046992,107.6436388,OPERATIONAL,4.8,12,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Alfamart,"Jalan Cikutra Kel No.128, RT.001/RW.0015, Padasuka",-6.9015661,107.6441114,OPERATIONAL,3.3,27,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
