name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart,"Jalan Ciroyom Kel No.23, RT.01/RW.08, Ciroyom",-6.9130461,107.5862988,OPERATIONAL,3.9,141,"convenience_store, atm, supermarket, grocery_or_supermarket, finance, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Jalan Kelenteng Kel No.39, RT.004/RW.002, Ciroyom",-6.9172773,107.5931232,OPERATIONAL,2.8,15,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Bahan Kue Havana,"Jalan Rajawali Timur No.27-18, Ciroyom",-6.916368599999999,107.5885866,OPERATIONAL,5,9,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Deby,"Jalan Rajawali Timur Gang Kebon Jukut No.32/26 2, Ciroyom",-6.916808499999998,107.5874522,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Jamu Herman,"Jalan Arjuna No.31, Ciroyom",-6.9147709,107.5891945,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Pa Yaya,"Jalan Teri No.39, Ciroyom",-6.9171814,107.5878425,OPERATIONAL,4.7,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko perabotan mas ja,"Blok a 9 No.10/11, pasar, Ciroyom",-6.9143211,107.5871983,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Panen Sagu,"3HJQ+VFW, Ciroyom",-6.917772200000001,107.588705,OPERATIONAL,4.7,7,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Akik/Linda,"Jalan Pepetek No.29, Ciroyom",-6.916955700000001,107.5899633,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Mulia Yanto Grosir,"Jalan Kakap No.31, Ciroyom",-6.9183242,107.5887773,OPERATIONAL,5,6,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko haji aep,"3HJQ+MQ8, Jalan Kakap, Ciroyom",-6.918346,107.5894376,OPERATIONAL,4,4,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung teh elis,"3HPP+452, Gang Ciroyom 5, Ciroyom",-6.914731700000001,107.5853871,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Grosir Berkah,"Jalan Jend. Sudirman No.486, Ciroyom",-6.918582300000001,107.5864547,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
