name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Indomaret Arcamanik,"Ruko Blok H-8 No. 6-7, JL Terjun Tandom, Arcamanik, Cisaranten Endah",-6.924329699999999,107.6723027,OPERATIONAL,4.1,24,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
WAEPESS,"Jalan Parakan Asri No.Dalam, Cisaranten Endah",-6.930998299999999,107.6720107,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Agen galon Le Minerale ciswandi,"3M9C+HR6, Cisaranten Endah",-6.9310688,107.6721138,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Marpis Bersaudara 3,Jalan Cingised Raya No.7,-6.9279462,107.6720809,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Mitra Disini Aja (Warung Bu Mul),"Jalan cingised gg.badodon 2 10, Jalan Parakan Saat Gang Badodon 2 No.10",-6.9274543,107.6699293,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, meal_takeaway, store, restaurant, food, point_of_interest, establishment",,{'open_now': True},Unknown
TOKO BESI CV.SEJAHTERA,"Jalan Parakan Saat No.4, Cisaranten Endah",-6.931883,107.6682092,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Mba Iki,"3M7F+JHR, Jalan Parakan Saat III, Cisaranten Endah",-6.935879399999999,107.6738872,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Agen galon le minerale Family water,"3M79+X92, Cisaranten Endah",-6.9351159,107.6683756,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen galon le minerale toko daffa,"Jalan Parakan Saat III No.123, Cisaranten Endah",-6.9366153,107.6723021,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Agen BNI 46-Toko Ayudha,"3MF9+RJM, Cisaranten Endah",-6.925418,107.6690402,OPERATIONAL,5,21,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Depot air Isi Ulang SALMAN,"3M79+MGF, Cisaranten Endah",-6.935814099999999,107.6687826,OPERATIONAL,4.9,7,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
WARUNG AZ,"Jalan Cipamokolan Kolot, Cisaranten Endah",-6.924630000000001,107.6694252,OPERATIONAL,4.4,33,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
