name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Indomaret Cisaranten,"Jalan Cisaranten Kulon No.11, Cisaranten Kulon",-6.920168299999999,107.6844099,OPERATIONAL,4,47,"convenience_store, atm, supermarket, finance, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart Cisaranten Baru,"Kod.Bandung, Jalan Cisaranten Kulon Kel Ds, RT.01/RW.04, Cisaranten Kulon",-6.9244875,107.6832829,OPERATIONAL,3.9,49,"convenience_store, supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Jalan Cisaranten Kulon Kel No.22 Ds, RT.06/RW.05, Cisaranten Kulon",-6.9290715,107.6798027,OPERATIONAL,4,228,"convenience_store, supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Service Kursi Dan Sofa,"Jalan Cingised No.73, Cisaranten Kulon",-6.928995499999999,107.6793037,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': True},Unknown
MARPIS BERSAUDARA TOKO,"Jalan Cisaranten Kulon No.3, RT.04/RW.05, Cisaranten Kulon",-6.925070999999999,107.6844543,OPERATIONAL,4.4,9,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Toko warkop DE_FARIS,"Jalan Cisaranten Baru No.32, RT.10/RW.01, Cisaranten Kulon",-6.922026199999999,107.6824716,OPERATIONAL,5,10,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': True},Unknown
Toko Hendra,"Jalan Cingised No.31, RT.03/RW.06, Cisaranten Kulon",-6.9287893,107.6776014,OPERATIONAL,4.7,19,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Dan Kontrekan,"Jalan Panca Tengah Raya No.lll, Cisaranten Kulon",-6.9264448,107.6852387,OPERATIONAL,4.6,18,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Toko zam plastik,"Jalan Cisaranten Kulon No.109A, Cisaranten Kulon",-6.9210529,107.6842415,OPERATIONAL,4.9,9,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Warung yayan,"3M9H+66C, Cisaranten Kulon",-6.931931100000001,107.6780125,OPERATIONAL,4.9,10,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
De sultan durian&frozen food,"Jalan Permata Elok, Cisaranten Kulon",-6.918948799999999,107.6794277,OPERATIONAL,5,37,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
telur ayam segar bandung,"Nugraha, Jalan Resko Blok C No.12, Cisaranten Kulon",-6.9189093,107.6784172,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': True},Unknown
Toko Tasid,"Jalan Cisaranten Kulon No.85, Cisaranten Kulon",-6.919099900000001,107.6849153,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Griya Sakinah / Jaya Sakti,"Jalan Permata Bumi Raya No.6, Cisaranten Kulon",-6.9181357,107.6831603,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,Unknown,Unknown
