name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
PUSHKOM Bandung,"Graha Bumiputera, Jalan Asia Afrika No.141-149, Kebon Pisang",-6.9220405,107.616701,OPERATIONAL,4.7,16,"university, point_of_interest, establishment",,Unknown,Unknown
GMP Academy,"Gedung Wisma Monex, Jalan Asia Afrika No.133-137 Lt. 8, Kebon Pisang",-6.9219648,107.6160556,OPERATIONAL,4.4,17,"university, point_of_interest, establishment",,Unknown,Unknown
Tb2,3JM9+2J7,-6.917455399999999,107.6190557,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
Ars university,3JM9+2J7,-6.917455399999999,107.6190557,OPERATIONAL,1,1,"university, point_of_interest, establishment",,Unknown,Unknown
Cigondewah,3JM9+2J7,-6.917455399999999,107.6190557,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
kampua ISTN,"3JM9+2J7, Kebon Pisang",-6.917455399999999,107.6190557,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
STIA-LAN,3JM9+2J7,-6.917455500000002,107.6190558,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
Kuliah Bandung,3JM9+2J7,-6.917455500000002,107.6190558,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
Robotics Lab. UPI,3JM9+2J7,-6.917455500000002,107.6190558,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
lila,"3JM9+2M3, Kebon Pisang",-6.917476499999999,107.6191593,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
Pusat Pengembangan Bahasa UIN Bandung,"3JM9+2M3, Kebon Pisang",-6.917476499999999,107.6191593,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
Widyatama,"3JM9+2M3, Gang Kebonpisang, Kebon Pisang",-6.917476499999999,107.6191593,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
kampus stie ekuitas a ..,"3JM9+2M3, Kebon Pisang",-6.917476499999999,107.6191593,OPERATIONAL,Unknown,Unknown,"university, point_of_interest, establishment",,Unknown,Unknown
