name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart Ters Buah Batu,"Jalan Terusan Buah Batu No.208, RW.004, Kujangsari",-6.959779699999999,107.639342,OPERATIONAL,3.8,16,"convenience_store, supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': True},Unknown
Big Mart,"Jalan Buah Batu Regency No.20 Ruko A1, Bandung, Kujangsari",-6.9612229,107.6406308,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Warung Pak Sirod,"Gang Pasantren I No.73, Kujangsari",-6.959008700000001,107.6419723,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Pismart Grocery,"Jalan Nuansa Indah, Kujangsari",-6.959156399999999,107.6408923,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
C-Mart,"Jalan Ciparay No.233, Kujangsari",-6.958881099999999,107.6404781,OPERATIONAL,4.8,42,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Warung Rendi Rantau Dayeuhluhur,"Jalan Ciparay No.223, Kujangsari",-6.958782599999999,107.6400903,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,Unknown,Unknown
Agen Galon Le Minerale - Toko Ramai,"Jalan H Bardan V No.10, Kujangsari",-6.9608644,107.6469937,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Warung Bu Sumi,"2JRQ+H6J, Gang Kujang V, Kujangsari",-6.958534799999999,107.6380164,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': True},Unknown
Alfamart,"Ruko Apartemen, Jalan Adhyaksa Raya Ds, Kujangsari",-6.9651486,107.6378084,OPERATIONAL,3.9,113,"convenience_store, supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Alfamart,"Ds, Jl.Ters.Buah Batu No.164 Rt.03 Rw.02 Kel.Kubang Sari Kec.Bandung Kidul, Margasari",-6.955867199999999,107.6391163,OPERATIONAL,3.8,8,"convenience_store, supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
