name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart,"Jalan Cibolerang No.234 Ds, RT.01/RW.08, Margahayu Utara",-6.9492422,107.5688641,OPERATIONAL,4.1,238,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
mora travel,"Komplek Cibolerang, Blok C No.12, Margasuka",-6.9472489,107.576184,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Wacrims,"3H3G+69G, North Margahayu",-6.9469433,107.5759435,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung MJ,"Jalan Margajaya Dlm II No.3, Margahayu Utara",-6.949793799999999,107.5754863,OPERATIONAL,4.3,49,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Kenstein,"Unnamed Road, Margahayu Utara",-6.946318799999998,107.5757502,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung umi edlyn,North Margahayu,-6.9456663,107.5760862,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Depot Air Barokah Pak Ricky,"Komplek Pasadena Residence Jl.Anggrek Blok BB No.2A, Jalan Caringin, Babakan Ciparay",-6.9469853,107.5790058,OPERATIONAL,5,7,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Abang Aceh,"Jl. Caringin, Gg. Karya Bhakti RT 01, Gang Kelurahan No.04 04, Margahayu Utara",-6.945029999999999,107.5763923,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
zenit collection,"3H3G+WVH, Gang Karyabakti II, Margahayu Utara",-6.9451781,107.5772485,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Toko Kelontongan (WarMor),"Jalan Satria Kulon 4 No.31A, Margahayu Utara",-6.9486346,107.5727344,OPERATIONAL,3.9,31,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Warung mba pipit,"3H3H+HPP, North Margahayu",-6.946038799999998,107.5792764,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Mekar Jaya Diarto,"3H3H+8WQ, Gang Lumbung 2, Margahayu Utara",-6.9466531,107.5798704,OPERATIONAL,4,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Rokok herbal SIN,"3H2C+H5R, Jalan Satria Raya RT.04/RW08, Margahayu Utara",-6.948515199999999,107.570393,OPERATIONAL,4.2,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Bukti Jaya,"Jalan Terusan Holis Cibolerang No.88, Margahayu Utara",-6.9468841,107.5702655,OPERATIONAL,4.6,10,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
