name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Griya Pasteur,"Jl. Dr. Djunjunan No.115-A, Pajajaran, Kec. Cicendo, Jawa",-6.8952256,107.5883499,OPERATIONAL,4.5,5386,"supermarket, department_store, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",,{'open_now': False},Unknown
Indomaret Baladewa,"Jalan Baladewa No.17, Pajajaran",-6.904914899999999,107.5903924,OPERATIONAL,4,62,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung 2000,"4H2P+FVV, Pajajaran",-6.898767,107.5871656,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Ujang,"3HXQ+RCQ, Jalan Citepus III, Pajajaran",-6.900402100000002,107.5886102,OPERATIONAL,4.5,4,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Pa Lili,"Jalan Cipedes Hegar No.19a, Pajajaran",-6.897972599999999,107.5894892,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Qilla Cellular,"Jalan Cipedes Hilir Jalan Pajajaran No.13, RT.07/RW.03, Pajajaran",-6.899240799999999,107.5903116,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko kakang,"Jalan Citepus II No.98, Pajajaran",-6.9021174,107.589538,OPERATIONAL,4.9,8,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Daging slice ala 2 yoshinoya,"3HWP+MH6, Jalan Citepus 1, Pajajaran",-6.9033453,107.5863839,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Alex Putra Mandiri,"Gang 8 No.48, Pajajaran",-6.902487,107.5903403,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Jalan Sukawarna No.153, RT.01/RW.01, Sukaraja",-6.8935976,107.5834313,OPERATIONAL,3,11,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Jalan Pajajaran No.142, RT.04/RW.07, Pajajaran",-6.906359999999999,107.5872334,OPERATIONAL,3.8,17,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
