name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Hypermart Metro Trade Centre,"LG, Metro Indah Mall, Jalan Soekarno-Hatta No.590, Sekejati",-6.942649,107.6584364,OPERATIONAL,4.2,2472,"atm, supermarket, finance, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Ds, Jl.Soekarno Hatta 590/Mtc, Jalan Margacinta Blok J, Sekejati",-6.941856799999999,107.6594094,OPERATIONAL,3.3,4,"convenience_store, supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Warung pak jenal,"Jalan Rancabolang Barat, Sekejati",-6.9466385,107.6558264,OPERATIONAL,5,4,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': True},Unknown
Warung Bang Tanggang,"3M34+GM4, Sekejati",-6.946237599999999,107.656702,OPERATIONAL,4,1,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Kaka Fika Frozen Food,"Jl. Neptunus Barat II A14 No 7, Sekejati",-6.948215599999999,107.6558007,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Boyke,"Jalan Jupiter Barat No.34 Blok J2, Sekejati",-6.946042299999999,107.6584017,OPERATIONAL,4.8,4,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
King market,"Jalan Neptunus Raya No.90 blok K 2No, Sekejati",-6.9487889,107.6575915,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,Unknown,Unknown
Warung sayur dan sembako (toko AZ),"Jalan Neptunus Timur I No.48a, Sekejati",-6.9479348,107.6588457,OPERATIONAL,4.8,6,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Mandiri (Bapa Jeri),"Jalan Cidurian Selatan No.34, Sekejati",-6.942652,107.652792,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Agen galon le minerale Syntia,"Jalan Cidurian Selatan No.159, Sekejati",-6.9438246,107.6516674,OPERATIONAL,5,5,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,Unknown,Unknown
Alfamart,"Blok G2 nomor 2, Jalan Jupiter IX No.01 Ds, RT.06/RW.12, Margasari",-6.945809999999999,107.66019,OPERATIONAL,4.2,214,"convenience_store, supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Warung RRA 58,"3M25+CMM, Jalan Meteor Tengah 1, Sekejati",-6.9489012,107.6591715,OPERATIONAL,4.4,5,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Sayur Abah,"Jalan Galaxy II No.71, Sekejati",-6.950816299999999,107.65596,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,Unknown,Unknown
Alfamart,"Jl Ruko Metro Indah Mall Blok E7 &, Blk. E8, Jalan Margacinta, Sekejati",-6.941195899999999,107.6584957,OPERATIONAL,3.4,17,"convenience_store, supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Whizo,"Jalan Meteor Raya No.268, Sekejati",-6.9503825,107.6593527,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",,{'open_now': False},Unknown
