name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
LOTTE Mart Bandung Festival,"festival city link, Jalan Peta No.241, Suka Asih",-6.929807599999999,107.5866333,OPERATIONAL,4.4,2184,"atm, finance, shopping_mall, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toserba Bahagia,Jalan Situ Gunting Timur No.2 No.41,-6.9335013,107.5868955,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Mikro Koperasi Budijaya,"Jalan Babakan Tarogong, Suka Asih",-6.931568,107.5899337,OPERATIONAL,4.3,6,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Gudang Mikro Swalayan,"3H9R+92P, Jalan Babakan Tarogong, Suka Asih",-6.9315473,107.5900883,OPERATIONAL,4.5,48,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Pak Hendra,"Jalan Undak Kencana No.12a, Suka Asih",-6.935760200000001,107.5883774,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Mikro Pasaraya,"Jalan Babakan Tarogong No.147, Suka Asih",-6.9315116,107.5903049,OPERATIONAL,3.6,11,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
AGAPE MART,TERUSAN Jalan Undak Kencana No.20,-6.9361757,107.5887674,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Indomaret Spbu Peta,"Jalan Peta No.175, Situsaeur",-6.9350457,107.5915522,OPERATIONAL,4.1,9,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Toko Sembako Pak Ade,"Gang H. Syarif No.182 194 B, Suka Asih",-6.933131299999999,107.5852904,OPERATIONAL,5,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Main lobby festival citylink,"GF , Festival Citylink , JL. Peta, Suka Asih , 241 , Bojongloa Kaler , 40233 Bandung , Jawa BaratSuka AsihBojongloa",-6.9295162,107.5871081,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
OH!SOME - Festival Citylink,"Mall Festival Citylink, Jalan Peta No.241 LT.01-02, Suka Asih",-6.9298134,107.5862562,OPERATIONAL,4.4,171,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
warung pribumi ibu imas,"Jln.Babakan Tarogong Gg.Tanjung 03 No.25/197B, RT.03/RW.05, Suka Asih",-6.928909399999999,107.5883841,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
