name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Indomaret Sukamiskin,"Jalan Arcamanik Endah No.60, Sukamiskin",-6.919592000000001,107.673094,OPERATIONAL,3.8,57,"convenience_store, atm, supermarket, grocery_or_supermarket, finance, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Sehat 1000 Kebun,Jalan Golf Barat XIII No.11,-6.916547,107.671411,OPERATIONAL,4.8,194,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart Pacuan Kuda,"Jalan Pacuan Kuda No.145 Ds, RT.007/RW.008, Sukamiskin",-6.911231599999999,107.6779694,OPERATIONAL,4.1,68,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart Sukamiskin,"Jl. Pacuan Kuda No 52 Rt 01 Rw 04 Kel Sukamiskin Kec.Arcamanik Kot. Bandung, Ds, Sukamiskin",-6.9086599,107.6726471,OPERATIONAL,4,89,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Mulia Pasar Swalayan,"Jalan Arcamanik Endah 59 Ruko 1 No.5, Sukamiskin",-6.9175263,107.6761481,OPERATIONAL,4.5,91,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Griya Arcamanik,"KOMP. GOLF GARDEN RUKO, Jalan Arcamanik Endah No.123",-6.917728799999999,107.6758959,OPERATIONAL,4.2,2401,"supermarket, atm, department_store, grocery_or_supermarket, finance, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Boncu Anna,"Komplek Antabaeu 2 No.e7, RT.01/RW.10",-6.9079465,107.6735343,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Rumah didot,"Jalan Senam V No.25, Sukamiskin",-6.915238400000001,107.6687718,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung Harun,"3MJG+PF2, Jalan Pencak Silat, Sukamiskin",-6.918246000000001,107.6761481,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
CBR Ritel Sukamiskin,"Jalan Pesantren Dalam No.30, Sukamiskin",-6.908293,107.677675,OPERATIONAL,4.6,55,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
My rice Arcamanik,"Jalan Pacuan Kuda No.16, RW.06, Sukamiskin",-6.905635999999999,107.6731604,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung mamah Kevin,"Jalan Simpangsari, rt4rw1, no279Sukamiskin",-6.9072009,107.6689234,OPERATIONAL,4.4,7,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Sembako Toska Mart - Toska Kirim,"Jalan Arcamanik Endah Ruko III Kecamatan No.3, Sukamiskin",-6.920680099999999,107.6721587,OPERATIONAL,5,11,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
