name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart,"Jl. Suryani Indah No. 2 Rt 002 Rw 010 Kel. Warung Muncang, Caringin",-6.922486600000001,107.5768476,OPERATIONAL,4.3,148,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Jalan Soekarno-Hatta No.63, RT.02/RW.09, Warung Muncang",-6.925101,107.575347,OPERATIONAL,3.7,36,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Indomaret Suryani,"Jalan Terusan Suryani No.42, Warung Muncang",-6.9243541,107.5797552,OPERATIONAL,4,136,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Alfamart,"Jalan Jend. Sudirman No.631 C, RT.03/RW.01, Warung Muncang",-6.917993,107.5786811,OPERATIONAL,4.1,106,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Putri.Raa,"3HGH+M3V, Jalan Cibuntu Timur, Warung Muncang",-6.923274399999999,107.5776651,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Warung Umi Ipol,"Jalan Cibuntu Tengah 3, Warung Muncang",-6.924346999999999,107.5762122,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Toko Sarno,"3HGH+66J, Jalan Lebe, Warung Muncang",-6.924406599999998,107.578017,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Warung Neneng,"Jalan Cibuntu Timur, samping mesjid Al Fatah No.137/191C, Warung Muncang",-6.924112899999999,107.5791275,OPERATIONAL,5,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,Unknown,Unknown
Warung ibu empong,"3HGH+9MM, Jalan Cibutut Timur Jalan Lebe RT.004/RW.003, Warung Muncang",-6.924040299999999,107.5791751,OPERATIONAL,5,5,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': False},Unknown
Sumber Rejeki Jual Alat Tahu,"Jalan Terusan Suryani No.68, Warung Muncang",-6.925140000000001,107.5789116,OPERATIONAL,4.6,16,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Toko mbak rose,"Jalan Cibuntu Timur No.1 4, Warung Muncang",-6.9236336,107.5797534,OPERATIONAL,Unknown,Unknown,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
Toko lancar jaya abadi,"Jalan Holis No.83 RT01, RW.08, Warung Muncang",-6.925843399999999,107.5748589,OPERATIONAL,4.7,3,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",,{'open_now': True},Unknown
