name,address,lat,lng,rating,user_ratings_total
Cuanki Enggal Jaya,"4JM2+6W3, Ciumbuleuit",-6.8669995,107.6022882,3,1
Teras ceuceu,"4JM3+32J, Gang H. Arwani, Ciumbuleuit",-6.867288199999999,107.6025032,5,1
Mie Ayam & Bakso Berkah Bang Ali,GG cisaladah,-6.867136500000001,107.6028712,Unknown,Unknown
Nasi Ayam Bagja Barokah,"dalam RT04 RW04, Jalan Panumbang Jaya Gang H. Arwani, Ciumbuleuit",-6.8670681,107.6028903,5,1
Donat Pompom,"4JM3+456, Ciumbuleuit",-6.867204,107.6028773,Unknown,Unknown
"EATSOB , Makanan Rumahan","lapang voli rw 11, Jalan Aki. Ganda kp.cikadu No.rt05/11, Ciumbuleuit",-6.861320699999999,107.6019636,Unknown,Unknown
PISANG GORENG SIMANALAGI BUKIT IDAMAN,"Jalan Bukit Idaman No.20, Ciumbuleuit",-6.8574735,107.6017161,5,2
Kantin Tante Cipaku,"Jalan Bukit Idaman No.1, Ciumbuleuit",-6.858498399999999,107.6012747,4.5,146
Madame Yo,"Jalan Bukit Idaman No.Kav 120, Ciumbuleuit",-6.856513400000001,107.6013289,4.2,33
De'dapuran,"Jalan Bukit Indah I No.105d, Ciumbuleuit",-6.8724341,107.6032857,4,2
Warung bati,"Jalan Panumbang Jaya Gang Madsa'I No.RT 03/04, Ciumbuleuit",-6.8659988,107.6031256,Unknown,Unknown
Nightcap,"Jalan Panumbang Jaya No.5, Ciumbuleuit",-6.8666473,107.6034125,4.5,312
Set N Rise INN,"Jalan Panumbang Jaya No.5, Ciumbuleuit",-6.866829699999999,107.6033532,3.9,21
Dzaki's juice 88,"Jalan Panumbang Jaya No.19, Ciumbuleuit",-6.8645121,107.6038676,5,2
Lumpia Seblak Wahyu/rumah Naura,"Jalan Panumbang Jaya Jalan Kebon Tujuh No.kp, RT.01/RW.04, Ciumbuleuit",-6.863768599999998,107.60349,5,1
Raja Kantin,"Jl.Cimbuleuit No.24, Ciumbuleuit",-6.863349899999999,107.603551,5,4
Warung mie kocok ibu yati,"4JQ3+2HR, Ciumbuleuit",-6.862385499999999,107.6038752,5,2
Warung Kupat Tahu Pak Ronie,"Jalan Kebon Tujuh No.41, Ciumbuleuit",-6.8627074,107.6036563,5,8
Lotek Bu Elin,"Jalan Kebon Tujuh No.41, Ciumbuleuit",-6.862739299999999,107.6038216,5,3
Seblak Teh Uwie,"4JQ3+4M9, Ciumbuleuit",-6.862213099999999,107.6042326,4.6,14
Incu_Abah ( TWINZ),"Rumah Bpk.Ase Sukarna, Jalan Rereongan Sarupi No.12, RT.05/RW.03, Kel. Ciumbuleuit",-6.861765600000001,107.6042025,Unknown,Unknown
Warung gorengan Mamah Danis,"2c kp, Gang Manunggal sayuran No.60, RT.04/RW.07",-6.862662200000002,107.6045782,Unknown,Unknown
Raja Kantin,"Jl.Cimbuleuit No.24, Ciumbuleuit",-6.863349899999999,107.603551,5,4
Zeita Foodendfrozen,"depan lapangan volley, Jalan Aki. Ganda RT.05/RW.11, Ciumbuleuit",-6.860801399999999,107.6034545,5,1
Warung Seblak Mamah O,"4JQ3+P7J, Ciumbuleuit",-6.860626299999999,107.6031798,5,1
Warung teh maya,"Kp. Bongkor No.32 RT.05/03, Jalan Rereongan Sarupi No.Kel, Ciumbuleuit",-6.86131,107.6043198,4.5,2
HENHENCUANKI,"4JR3+CF3, Jalan Ciumbuleuit RT.02/RW.11, kp.cikadu",-6.858991500000002,107.6039228,Unknown,Unknown
Sate dan Soto Padang UNPAR,"Jalan Menjangan No.1, Ciumbuleuit",-6.873851600000001,107.6053932,4.6,5
Arto Moro Si Raja Bebek,Jalan Rancabentang,-6.873843099999999,107.6054518,Unknown,Unknown
Rammah food collective,Jalan Menjangan No.12,-6.874140299999999,107.6057863,5,4
Lontong kari ciumbuleuit,"Jalan Menjangan, Ciumbuleuit",-6.8738696,107.6058001,Unknown,Unknown
Basecame new generasi bandung,"4JG3+GX2, Ciumbuleuit",-6.873751199999999,107.6050246,5,8
Kedai bistik koko,Jalan Menjangan,-6.8737485,107.6050127,5,11
Sop Iga Nyi Iteung,"Jalan Ciumbuleuit No.106, Ciumbuleuit",-6.8738436,107.6049089,3,6
Chicken flavour krezz cidadap,"Jalan Ciumbuleuit No.106, Ciumbuleuit",-6.873842199999999,107.6048774,Unknown,Unknown
Warung Soto Lamongan,"Jalan Menjangan, Ciumbuleuit",-6.8736196,107.6051312,2.8,6
Warung Gemboel,"Jalan Ciumbuleuit No.106, Hegarmanah",-6.873767699999999,107.6049069,4.4,1344
Ayam Goreng Penyet Kabita,"4JG3+GXP, Ciumbuleuit",-6.873651499999999,107.6049474,4.7,107
Ayam Gepuk Pak Gembus Ciumbuleuit,"Jalan Ciumbuleuit No.163, RW.003, Hegarmanah",-6.8741751,107.6046334,4.3,430
Kedai padamoro,Jalan Menjangan No.2a,-6.873975199999999,107.6046295,5,1
Kantin Prasmanan Bagit,"No Jalan Menjangan No.2, Ciumbuleuit",-6.873975199999999,107.6046295,4.7,3
Sambal Setan Bulgwisin,"Jalan Ciumbuleuit No.169 B, Ciumbuleuit",-6.872631600000001,107.6048851,3,2
SATE TAICHAN BROSIS TAMAN SARI (ITB),Jalan Ciumbuleuit No.169b,-6.872697000000001,107.6048837,3,2
Pecel lele&ayam lamongan bersaudara,"Jalan Ciumbuleuit No.169, Ciumbuleuit",-6.8725925,107.6046898,Unknown,Unknown
Wandas Club,"No.122 Lt, Jalan Ciumbuleuit No.2, Ciumbuleuit",-6.871615299999998,107.6056025,4.7,56
