center_lat,center_lng,name,address,lat,lng,rating,user_ratings_total
-6.861644687185583,107.60200043904001,Paud Nurul Azmi,"4JQ3+84F, Jalan Aki. Ganda, Ciumbuleuit",-6.861691500000001,107.6028013,Unknown,Unknown
-6.8732347216998155,107.60369687808003,Lapanhan bilejk pov sering ramai psatir,"Jalan Bukit Indah No.9, Hegarmanah",-6.8725936,107.6034219,Unknown,Unknown
-6.862460886799261,107.60369687808003,11 W.I.P.S.,"4JP3+X6V, Ledeng",-6.8625167,107.6030535,5,8
-6.865235965485768,107.60539331712005,Sekolah Kristen Hidup Baru,"Jalan Ciumbuleuit No.160, Ciumbuleuit",-6.8655385,107.60608,4.6,34
-6.865235965485768,107.60539331712005,SD Al-Hidayah,"Jalan Rancabentang No.137, Ciumbuleuit",-6.865769999999999,107.60594,Unknown,Unknown
-6.865235965485768,107.60539331712005,在インドネシア日本国大使館付属バンドン日本人学校(Bandung Japanese School),"Jalan Ciumbuleuit No.199, Ciumbuleuit",-6.8660245,107.605657,4.5,2
-6.865235965485768,107.60539331712005,Anak PAPUA pu ASRAMA,"Jalan Kiputih I F, Ciumbuleuit",-6.865366400000001,107.6062513,Unknown,Unknown
-6.865235965485768,107.60539331712005,Kober Bina Kasih,Kp. Karamat Jaya Rt 09/RW 01 Desa Cidadap. Kec. Cidadap Kab. Sukabumi Provinsi Jabar,-6.8658706,107.6060182,Unknown,Unknown
-6.863440326335676,107.60539331712005,Sekolah Dasar Negeri 085 Ciumbuleuit,"Jalan Bukit Raya No.173, Ciumbuleuit",-6.863215299999998,107.6056025,4.9,16
-6.861644687185583,107.60539331712005,Sekolah Menengah Pertama Pgri 2 Kota Bandung,"⛉ Jalan Ciumbuleuit Atas No.48, Ciumbuleuit",-6.8613018,107.6053073,4.2,13
-6.861644687185583,107.60539331712005,Tk. Daarul Qur'an,"Jalan Rereongan Sarupi No.Kel, RT.04/RW.03, Ciumbuleuit",-6.861940799999999,107.6049177,5,2
-6.859849048035491,107.60539331712005,kebun.ka_rahman,"4JQ3+QRG, Ciumbuleuit",-6.860221000000001,107.604721,Unknown,Unknown
-6.8732347216998155,107.60708975616006,POS PAUD KENCANA Yayasan Kencana Bandung,"Jalan Rancabentang No.4, Ciumbuleuit",-6.8735164,107.6070656,4,4
-6.8642565259493535,107.60708975616006,Sekolah Dasar Negeri Bandung Baru 2,"jalan Bukit Raya Seletan No.298, Ciumbuleuit",-6.8638233,107.6068563,4.3,3
-6.8642565259493535,107.60708975616006,SDN 188 Bandung Baru,Ciumbuleuit,-6.863987299999999,107.6067663,4.3,10
-6.8642565259493535,107.60708975616006,Sekolah Dasar Negeri Ciumbuleuit IV,"Jalan Bukit Raya No.298, Ciumbuleuit",-6.8638216,107.6068957,5,2
-6.860665247649169,107.60708975616006,Pondok Pesantren HIDAYATUL MUNA,"Jalan Bukit Raya Atas No.60, Ciumbuleuit",-6.860185599999999,107.6073585,5,8
-6.860665247649169,107.60708975616006,SMP Negeri 52 Kota Bandung,"Jalan Bukit Raya Atas, Ciumbuleuit",-6.8606696,107.606352,3.8,44
-6.860665247649169,107.60708975616006,Sekolahn,"Jalan Bukit Raya Atas No.44a, Ciumbuleuit",-6.8612739,107.6063913,Unknown,Unknown
-6.872418522086138,107.60878619520008,SD Al Hidayah,"Jalan Ranca Bulan No.7, Ciumbuleuit",-6.8727144,107.6083177,5,4
-6.8732347216998155,107.6104826342401,KB AN-NUR,"Jalan Rancabentang Dalam No.119, Ciumbuleuit",-6.872776500000001,107.6106201,Unknown,Unknown
-6.8732347216998155,107.6104826342401,Yayasan Tahmil Rejeki Kurnia,"Jalan Rancabentang Dalam RT.03/RW.06, Ciumbuleuit",-6.8727589,107.6106282,5,4
-6.8732347216998155,107.6104826342401,Paud darussholihin,"4JH6+345, Jalan Ranca Bulan, Ciumbuleuit",-6.8723629,107.6103494,Unknown,Unknown
-6.871439082549723,107.6104826342401,Pondok Pesantren Nurul Huda,"Jalan Rancabentang Dalam No.116, RT.03/RW.06, Ciumbuleuit",-6.8720062,107.6111993,4.6,276
-6.858869608499076,107.6104826342401,TK MELATI 216,"4JR5+HX8, Ciumbuleuit",-6.8585774,107.6099634,Unknown,Unknown
-6.8552783301988915,107.6104826342401,SDN 085 Ciumbuleuit,"Jalan Rereongan Sarupi No.557, Ciumbuleuit",-6.8555572,107.6112783,Unknown,Unknown
-6.86703160463586,107.61217907328012,Tk Sejahtera Cidadap,"4JM6+5G7, Jalan Kiputih Dalam, Ciumbuleuit",-6.8670763,107.6112872,Unknown,Unknown
-6.858053408885398,107.61217907328012,smp,"4JR7+G3R, Ciumbuleuit",-6.858629700000001,107.612654,Unknown,Unknown
-6.862460886799261,107.61387551232013,Madrasah Barkatulloh,"4JQ7+48G, Ciumbuleuit",-6.862187700000001,107.6133355,Unknown,Unknown
-6.860665247649169,107.61387551232013,Paud Mahdiyyah,"4JQ7+W8M, Jalan Cipicung Hilir, Ciumbuleuit",-6.8601562,107.6133086,5,1
-6.850870852285029,107.61557195136015,Madrasah fathul Muhajirin,"Jalan Rereongan Sarupi No.577, Ciumbuleuit",-6.850467099999999,107.6152238,5,1
-6.862460886799261,107.61726839040017,Global Prestasi School Bandung,"Allegro Altura Complex, Jalan Citra Green, Ciumbuleuit",-6.862114999999999,107.6174406,4.7,44
-6.863440326335676,107.61896482944019,Pesantren Manarul Huda,"4JP9+VQ5, Ciumbuleuit",-6.8628749,107.6194775,4.9,21
-6.862460886799261,107.6206612684802,SD Muhammadiyah 6,"4JPC+Q9M, Dago",-6.863048199999999,107.6209327,5,3
-6.860665247649169,107.62405414656024,Ananda Marga Yoga Center,"Jalan Sukaresmi IV No.19, Ciumbuleuit",-6.861324199999999,107.623929,Unknown,Unknown
-6.853482691048799,107.62405414656024,SMP Al-Fatih Boarding School,"Jalan Dago Giri No.37, Mekarwangi",-6.853731000000001,107.6238691,4.6,29
-6.853482691048799,107.62405414656024,Darul Hikam Dago Giri,"Jalan Buniwangi No.55, Ciumbuleuit",-6.852710099999999,107.6242741,4.8,6
-6.853482691048799,107.62405414656024,Paud dan TK Bunga Bangsa,"4JWF+CF2, JL. Dago Giri / Pasir Muncang, Ciumbuleuit",-6.853975999999999,107.623655,Unknown,Unknown
-6.853482691048799,107.62405414656024,Kontrakan malinto,"Jalan Dago Giri No.27, Langensari",-6.8543023,107.6239985,Unknown,Unknown
-6.856257769735306,107.62575058560026,TK IBU IMAM,Indonesia,-6.856059200000001,107.6253632,Unknown,Unknown
