name,address,lat,lng,types,business_status,rating,user_ratings_total
Diabetes Tanpa Amputasi & Operasi - GR SETRA POLIKLINIK,"Jalan Tubagus Ismail VI No.27, Sekeloa",-6.8828513,107.6184931,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.3,12
IGD FARMASI,"Jalan Tubagus Ismail No.46, Sekeloa",-6.8855706,107.620525,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,2
Rumah Sakit Ginjal Indonesia,"Jl. Tubagus Angke VII No.21, Sekeloa",-6.8851814,107.6205396,"hospital, health, point_of_interest, establishment",OPERATIONAL,3.9,8
RS Khusus Ginjal Ny. R.A. Habibie,"Jalan Tubagus Ismail No.46, Sekeloa",-6.885246,107.6203275,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.4,459
Tambal Ban Mang JaJa,"4J7F+7C5, Jalan Tubagus Ismail, Sekeloa",-6.8868543,107.6235955,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Grabnow Klinik Cmi,"Jalan Tubagus Ismail VII No.16 A, Sekeloa",-6.882901599999999,107.6194685,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
KANKER TANPA OPERASI - GR SETRA POLIKLINIK,"Jl. Tubagus Ismail VII No. 21 Kecamatan :, Kelurahan : Sekeloa, RT.: 05/RW.:, 11",-6.882943699999999,107.6191799,"hospital, doctor, health, point_of_interest, establishment",OPERATIONAL,4.9,62
RSCMI,"Jalan Tubagus Ismail VII, Sekeloa",-6.8828002,107.6192138,"hospital, doctor, health, point_of_interest, establishment",OPERATIONAL,4.1,374
Rumah Sakit Jantung,Jalan Tubagus Ismail VII No.21,-6.8827803,107.6191738,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.9,34
CMI HOSPITAL BANDUNG,Jalan Tubagus Ismail VII No.21,-6.8827803,107.6191738,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.6,186
Poliklinik GR SETRA – Laboratorium Klinik Avicenna,"Jalan Tubagus Ismail VII No.21 Dago, Bandung, RW.01, Sekeloa",-6.8827803,107.6191738,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,51
