name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PICTA Antapani,"Jalan Sukanagara Kelurahan No.66, Antapani Kidul",-6.921608099999999,107.6603079,OPERATIONAL,4.6,27,"restaurant, food, point_of_interest, establishment",Unknown
Citra Mandiri,"Jalan Indramayu No.8, Antapani Kidul",-6.918097500000001,107.6574288,OPERATIONAL,4.4,5,"restaurant, food, point_of_interest, establishment",Unknown
Kaneela Crust Pie,Jalan Kadipaten I No.55,-6.917613800000001,107.6574912,OPERATIONAL,4.9,277,"bakery, store, restaurant, food, point_of_interest, establishment",2
Mie Baso Seroja Putra,"Jalan Purwakarta No.146, Antapani Kidul",-6.917369799999999,107.6567419,OPERATIONAL,4.2,69,"restaurant, food, point_of_interest, establishment",Unknown
Bakmi Jogja,"Jl. Indramayu No. 12 Antapani Kidul Antapani%28Cicadas%29 Bandung Jawa Barat, Antapani Kidul",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Restu Bundo,"Jl. Purwakarta No. 226 Antapani Kidul Antapani%28Cicadas%29 Bandung Jawa Barat, Antapani Kidul",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Waroeng Ungu Lima Belas rumah Makan & Butik,"Jalan Purwakarta Raya No.15, Cicadas",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ganti Salero,"Jl. Purwakarta No. 68 Antapani Kidul Antapani%28Cicadas%29 Bandung Jawa Barat, Antapani Kidul",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Hungry and Thirsty (Hurry),"Jalan Banjarnegara No.2, Antapani Kidul",-6.9234182,107.6592442,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Siomay ikan tenggiri 78,"008 no.33b, Jalan Purwokerto No.005 blok J6",-6.922364799999999,107.6587999,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Kayla,"3MG5+6JX, Antapani Kidul",-6.9243774,107.6591227,OPERATIONAL,4.2,5,"restaurant, food, point_of_interest, establishment",Unknown
SARANG BABAKAN SARI 2,"Jalan Sari Wates Timur III No.19, RT.02/RW.16",-6.924321399999999,107.6590245,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
BANA Bakakak Sarjana Antapani,"Jalan Sukanagara No.88, Antapani Kidul",-6.922372200000001,107.6612158,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
MACA Antapani,"Jalan Sukanagara No.62C, Antapani Kidul",-6.921616900000001,107.6600767,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Doeloe,"3MG5+6HR, Jalan Sari Wates Timur III, Antapani Kidul",-6.9243986,107.6588799,OPERATIONAL,4.9,7,"restaurant, food, point_of_interest, establishment",Unknown
