name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung Seblak khan,"rumah orange, Gang Tarumasari No.77, RT.03/RW.05, Antapani Kulon",-6.9099802,107.6566588,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung nasi pangkalan oli,"Jalan Kalijati Indah Ⅵ No.6, Antapani Kulon",-6.909501799999998,107.6561915,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung bocil,"Gang Tarumasari No.107, Antapani Kulon",-6.909827,107.656987,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Es.(Ea Campur, Es Teller, Es jus)antapani","3MR4+2VJ, Gang RA. Wijaya, Antapani Kulon",-6.909922099999999,107.6571281,OPERATIONAL,4.3,6,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Seblak Teh Ita,Jalan Terusan Kalijati 1A No.7,-6.910209699999999,107.6553718,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
warung mamih TS 89,Antapani Kulon,-6.9102079,107.657319,OPERATIONAL,5,3,"restaurant, meal_takeaway, food, point_of_interest, establishment",Unknown
Dapur_mommy,"3MR4+5W3, Jalan Antapani Gang Abureja, Antapani Kulon",-6.909603,107.6572864,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
"Balad Nyemil Antapani ( Agen Cuanki Hegar, Cireng Isi & Baso Tasik","Jalan Terusan Sindang Barang Gang. H. Sukin No.73A, Antapani Kulon",-6.9106013,107.6573845,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Es campur eyang,"Ruko cicaheum, Jalan Antapani Lama No.28",-6.9094476,107.657484,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Pecel Lele Putra Ronggolawe 06, ANTAPANI KULON","Jalan Antapani Lama No.28, Antapani Kulon",-6.909440999999999,107.6574981,OPERATIONAL,4.6,121,"restaurant, food, point_of_interest, establishment",Unknown
BASO MANG IING,"Jalan Antapani Lama No.39, Cicaheum",-6.909854799999999,107.6577312,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
