name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Saboga,"Jl. Merdeka No. 25-29 Babakan Ciamis Sumurbandung Bandung Jawa Barat, Babakan Ciamis",-6.907808100000001,107.6090042,OPERATIONAL,1.7,9,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Gepuk Elis,"Jalan Aceh No.26, Babakan Ciamis",-6.9105674,107.6078896,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Kencana Sari,"Jalan Aceh No.45, Babakan Ciamis",-6.9102313,107.6084929,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Waroeng Maranggi D'Sate's,"Jalan Aceh No.24, Babakan Ciamis",-6.9105602,107.6077012,OPERATIONAL,3.6,5,"restaurant, food, point_of_interest, establishment",Unknown
Sate Kiloan Kang Raga,"Jalan Aceh No.51, Babakan Ciamis",-6.909926799999999,107.6098884,OPERATIONAL,4.3,49,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Penyet & Soto Ayam Asia,"3JR5+6QW, Jalan Purnawarman, Babakan Ciamis",-6.909384599999999,107.6094659,OPERATIONAL,4.2,106,"restaurant, food, point_of_interest, establishment",Unknown
Richeese Factory,"Jalan Purnawarman No.11-13, Babakan Ciamis",-6.9089494,107.6091733,OPERATIONAL,4.4,1445,"restaurant, food, point_of_interest, establishment",2
Fortunate Coffee Bandung,"Jalan Kebon Sirih No.21A, Babakan Ciamis",-6.911641100000001,107.6059872,OPERATIONAL,4.5,530,"restaurant, food, store, point_of_interest, establishment",1
HokBen - BEC,"Bandung Electronic Center, Jalan Purnawarman No.7-11, Babakan Ciamis",-6.908783899999999,107.6091645,OPERATIONAL,3.6,270,"restaurant, food, point_of_interest, establishment",2
Panties Pizza Bandung BEC,"Electronic Center (BEC) UG AC -08, Jalan Purnawarman No.9 B, Babakan Ciamis",-6.9083285,107.6091785,OPERATIONAL,4.4,366,"restaurant, food, store, point_of_interest, establishment",2
Charada Korean BBQ,"Jalan Kebon Jukut No.25-29 kav 2, Babakan Ciamis",-6.914433099999999,107.6063722,OPERATIONAL,4.6,3737,"restaurant, food, point_of_interest, establishment",2
HokBen - Merdeka,"Jalan Merdeka No.47, Babakan Ciamis",-6.907598699999999,107.6103643,OPERATIONAL,4.3,1907,"restaurant, food, point_of_interest, establishment",2
