name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Baso Teh Uneng,Babakan Ciparay,-6.938767299999999,107.5813594,OPERATIONAL,4.2,11,"restaurant, food, point_of_interest, establishment",Unknown
Kedai AMC,"3H5M+72F, Jalan Pasar Induk Caringin, Babakan Ciparay",-6.941803900000001,107.5825523,OPERATIONAL,4.3,6,"restaurant, food, point_of_interest, establishment",Unknown
Surabi Geulis & Bubble Drink,Babakan Ciparay,-6.940917000000001,107.576568,OPERATIONAL,4.7,83,"restaurant, food, point_of_interest, establishment",1
RM. :apau Baru,"Pasar Induk Caringin, Jalan, Babakan Ciparay",-6.943139199999999,107.5823978,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam goreng & bakar asalam,"Jalan Soekarno - Hatta Gang Assalam No.53, Babakan Ciparay",-6.940833899999999,107.5796897,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Mie kocok&Baso Mamah Nissa,"Jalan Soekarno - Hatta Gang Assalam No.63, Babakan Ciparay",-6.9401325,107.5797596,OPERATIONAL,5,9,"restaurant, food, point_of_interest, establishment",Unknown
SEBLAK NYANDU MAMA ABYAN,"Jalan Soekarno - Hatta Gang Assalam No.35, Babakan Ciparay",-6.940111299999999,107.5801874,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Jln, Satria Raya 1","3H5H+JC5, Babakan Ciparay",-6.940989,107.5786238,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Chicken Mood,"Jalan Soekarno-Hatta Gang Sirojussalam 1 No.51, Babakan Ciparay",-6.9402339,107.5806703,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Resep Mamah Dedeh,"Jl.Soekarno Hatta Gg Elos Barat no.51 lama Rt 04/05, Babakan Ciparay",-6.9399633,107.5790953,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown
Kedai pojok mina,"Jalan Caringin, Babakan",-6.9423867,107.5801212,OPERATIONAL,4.8,11,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Kuning Ma Ade,"Jalan Caringin Gang Lumbung 4 No.65, Babakan Ciparay",-6.942182499999999,107.5806012,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Rina,"Jalan Caringin Gang Lumbung 4 No.21a, RT.03/RW.05, Babakan Ciparay",-6.942393699999999,107.5803806,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Kabay,"Jalan Caringin Gang Lumbung 4 No.93, Babakan Ciparay",-6.942377700000001,107.5804327,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dapur El144,Gg. Assalam (Depan Mesjid Assobariah) RT 04/05,-6.9397302,107.5788281,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Kelapa 88,"3H4J+W23, Jalan Caringin Gang Lumbung 4, Babakan Ciparay",-6.9427484,107.5800444,OPERATIONAL,5,4,"cafe, restaurant, food, point_of_interest, establishment",Unknown
Kupat Tahu Assalam,"3H5J+WGG, Jalan Nasional III, Babakan Ciparay",-6.9401909,107.5813387,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Transport,"Jalan Soekarno-Hatta No.196, Babakan Ciparay",-6.939555100000001,107.5807595,OPERATIONAL,3.9,16,"restaurant, food, point_of_interest, establishment",Unknown
Waroeng Fadlan&Fadli,"Jalan Caringin Gang Lumbung 4 No.28, Babakan Ciparay",-6.9428291,107.580159,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, store, point_of_interest, establishment",Unknown
