name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Angkringan Papuri,"Jalan Soekarno-Hatta No.785a, Babakan Penghulu",-6.937104,107.685277,OPERATIONAL,3.8,6,"restaurant, food, point_of_interest, establishment",Unknown
Mamchick Fried Chicken,"Perm. Grand Pinus Regency Ruko no 10, Babakan Penghulu",-6.934841,107.6830434,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Menanti 1,Babakan Penghulu,-6.9373695,107.6898591,OPERATIONAL,4.8,34,"restaurant, food, point_of_interest, establishment",1
Hj. Zaenal,"no 88, Jl babakan penghulu No.rt 04 06",-6.9367531,107.6910902,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warnas Sarirasa Emak Sumedang,Jalan Soekarno-Hatta,-6.937465499999999,107.6890444,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Sunda,Indonesia,-6.937393200000001,107.6884896,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ramela Resto - Bandung,"Jalan Soekarno-Hatta No.791B, Babakan Penghulu",-6.936833,107.6879873,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
SOTO AYAM MADURA,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown
DE'CHICK Fried Chicken,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam Baso Ceker,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,4.3,15,"restaurant, food, point_of_interest, establishment",Unknown
NASI GORENG MAS ADIT,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
BASO Hot Jeletot,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,4.4,11,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Wayang,"Jalan Soekarno-Hatta No.791, Cisaranten Wetan",-6.936814099999999,107.687948,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Rima,"Jalan Soekarno-Hatta No.714-710, Babakan Penghulu",-6.9375192,107.6883946,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pecel lele putra mandiri 74,"Jalan Soekarno-Hatta, Babakan Penghulu",-6.9367953,107.6917852,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown
Megatronics Engineering. CV,"Jalan Soekarno-Hatta No.805, Babakan Penghulu",-6.9368217,107.6919249,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Geboy,"3M6Q+X5M, Jalan Soekarno-Hatta, Babakan Penghulu",-6.937543799999999,107.6879216,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Goreng Enak,"3M6Q+X5J, Jalan Soekarno-Hatta, Babakan Penghulu",-6.937532300000001,107.687887,OPERATIONAL,5,8,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
RM Bungo Sumarak,"3M6Q+X4H, Jalan Rancameong, Babakan Penghulu",-6.937565499999999,107.6878626,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
