name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pujiyanto,"Jalan Hantap Raya No.22, Babakan Surabaya",-6.9142237,107.6477024,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Ayam bakar SBY,"Jalan Hantap Raya No.22, Babakan Surabaya",-6.914219099999999,107.6476796,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Mas Ehe,"Hantap Raya, Gang Cangkring No.RT.03/12, Babakan Surabaya",-6.9139954,107.6480386,OPERATIONAL,4.2,61,"restaurant, food, point_of_interest, establishment",Unknown
Warung nasi bu lilis,"3JPX+36F, Babakan Surabaya",-6.914789000000001,107.64807,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Seblak 81 Khas Garut,"Jalan Hantap Raya No.27, Babakan Surabaya",-6.9148722,107.6478326,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Roti Lumpurr,"Jalan Hantap Raya Gg.Gempol RT06RW14 No.kel, Babakan Surabaya",-6.914876199999998,107.6480445,OPERATIONAL,4.8,13,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Goang,"Jalan Terusan Jakarta No.24, Babakan Surabaya",-6.913386399999999,107.6480988,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Mie Ayam bakso Sarjan 2 MAS Ali (sejak 1995),"Jalan Terusan Jakarta Jalan Hantap Raya No.:25, RT.:02/RW:14/RW.14",-6.9146572,107.648535,CLOSED_TEMPORARILY,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Putra Riziq,"Jalan Terusan Jakarta No.19, Babakan Surabaya",-6.913310999999998,107.6476724,CLOSED_TEMPORARILY,2.6,10,"restaurant, food, point_of_interest, establishment",Unknown
NINA,"3JMX+X7R, Babakan Surabaya",-6.915020099999999,107.64815,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Sate Jembatan Madura,"Jalan Terusan Jakarta No.20 c, Babakan Surabaya",-6.9133787,107.6473622,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Kuning Ibu Popon,"Jalan Terusan Jakarta No.30A, Babakan Surabaya",-6.9132918,107.6482496,OPERATIONAL,4.7,6,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Cikawao Antapani,"Jalan Terusan Jakarta No.30A, Babakan Surabaya",-6.9132918,107.6482496,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
