name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pecel lele mas mukarom,"Jalan Soekarno-Hatta, Babakan",-6.932591500000001,107.5764718,OPERATIONAL,4.1,21,"restaurant, food, point_of_interest, establishment",Unknown
WM Rumah Kue & Kopi (illy cafe),"Jalan Sumber Asih No.6 No. 12, Babakan",-6.9343174,107.5725604,CLOSED_TEMPORARILY,4.2,118,"cafe, store, restaurant, food, point_of_interest, establishment",2
Putra minang,"Jl. Mekarsari Blok Agersari, RT.09/RW.10, Babakan",-6.934604999999999,107.5754376,OPERATIONAL,4.5,24,"restaurant, food, point_of_interest, establishment",Unknown
"Warung Sate & Gule ""Sinta""","Jalan Sumber Mekar No.39, Babakan",-6.934167899999998,107.5757395,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Soto Dan Bubur Ayam Anugerah,"3H8G+29V, Blok Ager Sari, Jalan Polisi RT.09/RW.10, Babakan",-6.934876399999999,107.5759308,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Serabi Solo,"Jalan Sumber Mekar No.35-5, Babakan",-6.933775699999999,107.575869,OPERATIONAL,4.1,8,"restaurant, food, point_of_interest, establishment",Unknown
Jus dan sop buat murmer bnyk varian rasa enak pula,"3H8F+3VQ, Jalan Sumber Mekar, Babakan",-6.934779499999998,107.5747237,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown
Cireng isi HADI,"Blok agersari RT.07/RW.10, Babakan",-6.9347297,107.5763238,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dapoer Express,Babakan,-6.9336119,107.5758542,OPERATIONAL,3.8,48,"restaurant, food, point_of_interest, establishment",Unknown
YD1CEV,"Jalan Polisi Gang Haji Hasan I No.3, RT.03/RW.10, Babakan",-6.934229299999999,107.5763643,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Toko yoga,RT.003/RW.011,-6.935425299999999,107.5756338,OPERATIONAL,3,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Batagor Abah Bandung,"3H8G+J6G, Jalan Sumber Mekar, Babakan",-6.933444799999999,107.575585,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Liwet Solo,"Jalan Sumber Mekar No.35-5, Babakan",-6.9335239,107.5759499,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung ibu susilawati,"3H8G+M73, Kp babakan cisarua",-6.9333749,107.5756649,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Bakso mercon,"3H8G+M73, Babakan",-6.9333749,107.5756649,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
REZA ARABIC STORE,"pasir randu, Babakan",-6.9333749,107.5756649,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
