name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Ichi Bento - Yogya Kepatihan,"Yogya kepatihan 4th Floor, JL. Dewi Sartika, No 18, Kepatihan, Bandung, Balonggede",-6.923722,107.6059129,OPERATIONAL,3.6,22,"restaurant, food, point_of_interest, establishment",Unknown
Dunkin' Donuts,"Jalan Dalem Kaum No.57, Balonggede",-6.9222494,107.6060357,OPERATIONAL,4.4,458,"bakery, cafe, store, restaurant, food, point_of_interest, establishment",2
Bakmi Parahyangan - Dalem Kaum,"Jalan Dalem Kaum No.12, Balonggede",-6.9221996,107.6043265,OPERATIONAL,4.2,505,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Ibu Imas,Jalan Balonggede No.67 / 48 / 38 / 93,-6.9259184,107.6072671,OPERATIONAL,4.5,23386,"restaurant, food, point_of_interest, establishment",2
Jopankar,"Jalan Ciguriang No.1, Balonggede",-6.9224349,107.6046779,OPERATIONAL,4.4,378,"hair_care, store, restaurant, food, point_of_interest, establishment",Unknown
CFC Yogya Kepatihan,"Jalan Kepatihan No.18, Balonggede",-6.923570799999999,107.6060729,OPERATIONAL,3.2,61,"restaurant, food, point_of_interest, establishment",2
Bebek Salero,"Jalan Dewi Sartika No.39, Balonggede",-6.922981999999999,107.6061272,OPERATIONAL,3.8,916,"restaurant, food, point_of_interest, establishment",2
Es Teler 79,"Kings Shopping Centre Ground Floor No. 4-6, JL. Kepatihan, No. 11-17, Balong Gede Regol, 40251, Balonggede",-6.9232,107.60558,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",2
Rumah Makan Padang USAHA BUNDA,"Jalan Dalem Kaum No.48-52, Basement MD Plaza, Balonggede",-6.922408,107.605772,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
HokBen Plaza King's,"Kings Shopping Center, Jalan Kepatihan No.11-17 Lantai 4, Balonggede",-6.923098899999999,107.6047362,OPERATIONAL,3.5,82,"restaurant, food, point_of_interest, establishment",2
Warung Nasi Sederhana Rai Raka,"Jalan Raden Dewi Sartika No.97D, Pungkur",-6.9271048,107.6037927,OPERATIONAL,4.2,187,"restaurant, food, point_of_interest, establishment",1
