name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Foodlife GRIYA Batununggal,"Jalan Batununggal Indah I No.19 - 21, Batununggal",-6.9528411,107.6277415,OPERATIONAL,4.5,1593,"restaurant, food, point_of_interest, establishment",2
D'Ayam Ketawa catering,"dekat Toko HJ OMI, Jalan Waas, Batununggal",-6.9518051,107.6260678,OPERATIONAL,4.3,15,"restaurant, food, point_of_interest, establishment",Unknown
Toko Oleh - Oleh Khas Tempe Gila,"Jalan Sekelimus Tengah No.10, Batununggal",-6.9480688,107.6378798,OPERATIONAL,4.3,4,"restaurant, food, point_of_interest, establishment",Unknown
Juice Preuneur,"Jalan Sekelimus Utara No.11, Batununggal",-6.947419600000001,107.63905,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Khas Sunda Cibiuk,"Jalan Soekarno-Hatta No.508, Batununggal",-6.9467481,107.638547,OPERATIONAL,4.5,7013,"restaurant, food, point_of_interest, establishment",2
Ayam Goreng & Roti bakar Bi-51,"Jalan Batu Indah Raya No.51A, Batununggal",-6.9527685,107.6324726,OPERATIONAL,3.7,3,"restaurant, meal_takeaway, food, point_of_interest, establishment",Unknown
Cois Burger,"Jalan Batu Indah Ⅺ No.23, Batununggal",-6.9527219,107.6331403,OPERATIONAL,4,5,"restaurant, food, point_of_interest, establishment",Unknown
Tiara Puspa Catering Service & Decoration,"Jalan Batu Indah XIV No.6, Batununggal",-6.9534836,107.6322735,OPERATIONAL,4.6,21,"restaurant, food, point_of_interest, establishment",Unknown
Ayam JM,"Jalan Parakan Asri No.33, Batununggal",-6.9522242,107.6314238,OPERATIONAL,4.7,19,"restaurant, cafe, food, point_of_interest, establishment",Unknown
Khaliqa Kitchen,Jalan Batu Indah XIV No.10,-6.9538704,107.6319731,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Jampe - Jampe,"Jalan Parakan Ayu Raya No.7, Batununggal",-6.9511181,107.6322833,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Jeruk peras murni,"Jalan Parakan Ayu Raya No.7, Batununggal",-6.951069800000001,107.6322054,OPERATIONAL,5,7,"restaurant, food, point_of_interest, establishment",Unknown
PEMPEK BENERAN,"Komplek Batu Indah Jalan Batu Indah IX No.2B, Batununggal",-6.952805999999999,107.6341527,OPERATIONAL,4.3,24,"restaurant, food, point_of_interest, establishment",Unknown
Paras 42,"Jalan Parakan Asri No.42, Batununggal",-6.952193,107.6304799,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Pengkolan,"Jalan Batununggal Indah Raya No.283, Batununggal",-6.9545895,107.6320059,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Resto,"2JWJ+H66, Jalan Batununggal Lestari V, Batununggal",-6.9535836,107.6305139,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Lontong Sayur Ayam Rendang Aceh,"Jalan Batununggal Indah Raya No.283, Batununggal",-6.954648899999999,107.6319223,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Mojok Yuk..!,"Jalan Batununggal Indah Raya No.263, Batununggal",-6.954445600000001,107.6312887,OPERATIONAL,4.8,12,"cafe, store, restaurant, food, point_of_interest, establishment",Unknown
