name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
HDL 293 Seafood,"Jalan Gatot Subroto No.230, Binong",-6.931010199999999,107.6408746,OPERATIONAL,4.2,578,"restaurant, food, point_of_interest, establishment",2
LexAt,"Gang Pangumbahan No.1 No.153/25, RT.2/RW.17",-6.9377906,107.6404453,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung bu enyi,"3J6R+XF7, Gang Machpud, Binong",-6.9375861,107.641172,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown
Lotek Rujak Bu Sari,"Jalan Binong Jati No.137, Binong",-6.9377437,107.6401694,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Juice Blend,"Jalan Binong Jati No.2 no.72, Binong",-6.938178199999999,107.6414178,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ibu Enjah,Indonesia,-6.938247499999999,107.639935,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Cuankinit Bakso,Binong,-6.9389308,107.64083,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Mie kocok ibu lilis,"Gang Wibawa Jalan Binong Jati No.54, RT.01/RW.04, Binong",-6.937612100000001,107.639844,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
home burger,"rt01, Jalan Binong Jati No.146, RW.04, Binong",-6.9372913,107.6400869,OPERATIONAL,4.7,59,"restaurant, food, point_of_interest, establishment",Unknown
Wardaff,"Jalan Binong Jati No.138, RT.01/RW.04, Binong",-6.9369696,107.6401877,OPERATIONAL,4.8,111,"restaurant, food, point_of_interest, establishment",1
warung jajanan bu cucu,"Gang Mukti No.63 rt01, RW.04, Binong",-6.9375817,107.6395375,OPERATIONAL,5,7,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
ibro chicken roasted binong,"3J7R+7G6, Gang Sukamaju I, Binong",-6.936840600000001,107.64126,OPERATIONAL,3.7,3,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
"Kabobs - Premium Kebab, Kiaracondong","Jalan Ibrahim Adjie No.372a, Binong",-6.938616499999998,107.6421004,OPERATIONAL,4.6,1343,"cafe, restaurant, food, point_of_interest, establishment",2
Warung nasi bu dedah,Jalan Binong Jati RT.01/RW.04,-6.9377574,107.6392334,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
