name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
"Batagor Bloder, Asrama Kipal","Jalan Raya Cibeureum No.70, Campaka",-6.9022031,107.564278,OPERATIONAL,4.7,32,"restaurant, food, point_of_interest, establishment",Unknown
Dapur alya,Jalan bukit barisan perum cendana tahap 3 blok e no 2,-6.900629599999999,107.5665802,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Mang Andi,"Gang Babakan Hegar No.41, Campaka",-6.900030500000001,107.5668857,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Warung goceng,"Gang Babakan Hegar No.35, Campaka",-6.9002304,107.567023,OPERATIONAL,1,1,"restaurant, food, store, point_of_interest, establishment",Unknown
Warung Ceu Omah,"4H28+3HQ, Jalan Sapta Marga, Campaka",-6.8997769,107.5664796,OPERATIONAL,4.6,7,"restaurant, food, point_of_interest, establishment",Unknown
Ikan bakar nila cobek,"4H28+4GF, Campaka",-6.899687200000001,107.5662936,OPERATIONAL,4.8,6,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Andi,"Jalan Sapta Marga No.45, Campaka",-6.8995105,107.5667487,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
Pisang keju nacka,Jalan Asrama Kipal,-6.9010206,107.5654345,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Hafinan,"Gang Babakan Hegar No.23, RT.03/RW.03, Campaka",-6.900655,107.5677506,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Basreng Kriuk Alan,"Jalan Asrama Kipal No.B-14, RT.005/RW.004, Campaka",-6.9015413,107.5658087,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi uduk ema eti,"Jalan Asrama Kipal No.b14, Campaka",-6.901540400000001,107.565807,OPERATIONAL,5,9,"restaurant, food, point_of_interest, establishment",Unknown
CAKUE MINI ALAN,"Jalan Asrama Kipal Gang Kipal II No.B-14, Campaka",-6.901547799999999,107.5658049,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Goreng UT,"Jalan Sapta Marga Jalan Bojong Koneng No.21, Campaka",-6.8991282,107.5660965,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Poras,"4H28+55X, Jalan Sapta Marga, Campaka",-6.899505099999999,107.5654747,OPERATIONAL,4.8,40,"restaurant, food, point_of_interest, establishment",Unknown
Ayam seuhah R.S.A cibereum,"3HX8+979, Campaka",-6.901585499999999,107.5657456,OPERATIONAL,5,9,"restaurant, food, point_of_interest, establishment",Unknown
Warung Uwo ( Makanan Khas Palembang),"Jalan Asrama Kipal Gang Kipal II No.b23, RT.05/RW.04",-6.9017471,107.5654853,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Tulang Lunak Rawit Tujuh,"Jalan Sapta Marga No.74 blok C, Campaka",-6.899970199999999,107.5647918,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
