name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Saung Lesehan Mang Ipik,"Jalan Cibaduyut No.60, Cibaduyut Kidul",-6.959883499999999,107.5932575,CLOSED_TEMPORARILY,4.1,252,"restaurant, food, point_of_interest, establishment",2
Kedai Una si seblak parasmanan,"Jalan Ciparay Tengah RT.06/RW.05, Cibaduyut Kidul",-6.9596931,107.5900466,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
azril thaitea,"Jalan Ciparay Tengah No.30, Cibaduyut Kidul",-6.960261999999998,107.5907869,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Waroeng Nanka,"Jalan Ciparay Tengah No.233, RT.01/RW.06, Cibaduyut Kidul",-6.9601575,107.5897388,OPERATIONAL,4.9,8,"restaurant, food, point_of_interest, establishment",Unknown
Ayam bakar dan goreng wiwin,"2HQQ+XVF, Cibaduyut Kidul",-6.960069000000001,107.5896592,OPERATIONAL,4.3,4,"restaurant, food, point_of_interest, establishment",Unknown
Soto Bohim,"2HRQ+3RC, Cibaduyut Kidul",-6.959808199999999,107.5895299,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Roemah dewi,"Jalan Cibaduyut Kp Ciparay Tengah No.15, RT.06/RW.5, Cibaduyut Kidul",-6.9595227,107.5895171,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bilqis Food (Bilqis Laundry),"2HRQ+9WF, Cibaduyut Kidul",-6.9590749,107.589799,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung Mamah Fajri,"Jalan Ciparay Tengah No.44, Cibaduyut Kidul",-6.959236799999999,107.5895501,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Roti John Borobudur Cibaduyut,"Jalan Mendut Perumahan No.2, Cibaduyut Permai",-6.959111600000001,107.5913788,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Gigami,"Jalan Borobudur No.17-23, Cibaduyut Kidul",-6.9588535,107.5912563,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
SEBLAK BOBOKO BANDUNG,Cibaduyut Kidul,-6.959053399999999,107.5892922,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Catering BabaBubu,"Komplek cibaduyut permai, Jalan Jago No.6",-6.9606183,107.5916867,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Gledek Neng Putri,"2HRQ+JR7, Cibaduyut Kidul",-6.958462700000001,107.5895488,OPERATIONAL,5,10,"restaurant, food, point_of_interest, establishment",Unknown
Es pisang ijo 38 kota bandung,"Jalan Borobudur No.34, Cibaduyut Kidul",-6.958545200000001,107.5914802,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Amak,"Jalan Batu Tulis No.4 f13, Cibaduyut",-6.9595655,107.5921749,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Warunk ceu eni,"2HRQ+7C9, Cibaduyut Kidul",-6.959327499999999,107.588607,OPERATIONAL,4,3,"restaurant, food, point_of_interest, establishment",Unknown
