name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Seblak Teh Wiwi,"Jalan Mekar Makmur II No.15, Cibaduyut Wetan",-6.9580233,107.6040352,OPERATIONAL,4.1,10,"restaurant, food, point_of_interest, establishment",Unknown
Chet House Catering,"Jalan Aria Mangkunagara No.2a, Cibaduyut Wetan",-6.958802800000001,107.5986311,OPERATIONAL,4,13,"restaurant, food, point_of_interest, establishment",Unknown
"Nasi Campur 88, Cibaduyut","Jalan Dewa Niskala No.3, Cibaduyut Wetan",-6.9602732,107.599332,OPERATIONAL,4.9,37,"restaurant, food, point_of_interest, establishment",Unknown
Kitto (Waroeng Singgasana),"Jalan Galuh Pakuan Tengah No.2A, Cibaduyut Wetan",-6.9605997,107.5977999,OPERATIONAL,4.3,42,"cafe, store, restaurant, food, point_of_interest, establishment",Unknown
Bakmi Babi Hong Jualin,Jalan Kuta Mangu No.1,-6.959964500000001,107.6003492,OPERATIONAL,5,62,"restaurant, food, point_of_interest, establishment",Unknown
kupat oboy online gojeg go shoap,"Jalan Singgasana Raya No No.93boy, Cibaduyut Wetan",-6.957413499999999,107.5976956,OPERATIONAL,5,7,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Goreng Kutamangu,"Jalan Kuta Mangu No.7, Cibaduyut Wetan",-6.9603847,107.6004504,OPERATIONAL,5,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Bakmi Nikmat Singgasana,"Komp Singgasana Pradana, Jalan Raden Medang Kamulan No.9, Cibaduyut Wetan",-6.9599937,107.6008239,OPERATIONAL,4.7,31,"restaurant, food, point_of_interest, establishment",Unknown
KEPITING DADAKAN,"Jalan Kuta Kencana Barat No.11a, Cibaduyut Wetan",-6.955970499999999,107.5981457,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Chikin.oppa,"Perumahan Singgasana Pradana, Jalan Raden Medang Kamulan No.41, Cibaduyut Wetan",-6.960091900000001,107.6019531,OPERATIONAL,3.6,5,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Seblak ibu nunung,"Cibaduyut_wetan Blok situ_Rt04/03, Cibaduyut Wetan",-6.9581983,107.5952942,OPERATIONAL,4.4,7,"restaurant, food, point_of_interest, establishment",Unknown
