name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
BAKSO PALM,"Jl. Indrayasa No.156, mekar wangi, Cibaduyut",-6.9522349,107.5957281,OPERATIONAL,4.1,38,"restaurant, food, point_of_interest, establishment",1
Pizza Hut Delivery - PHD Indonesia,"Jalan Mekar Pesona Jalan Indrayasa No.132, Cibaduyut",-6.952218100000001,107.5964095,OPERATIONAL,4.5,1219,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2
Warteg Tak Ingin Kusendiri,Indonesia,-6.9536073,107.5932204,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Margana,"Gang Pak Aip No.94B, Cibaduyut",-6.953407899999999,107.5931596,OPERATIONAL,4.2,19,"restaurant, food, point_of_interest, establishment",Unknown
De'Chick Cibaduyut,"jl indrayasa no 72 Rt03 Rw 01, Cibaduyut",-6.9535622,107.5933841,OPERATIONAL,3.3,8,"restaurant, food, point_of_interest, establishment",Unknown
Bubur ayam kencana,"Jalan Cibaduyut A No.151, Cibaduyut",-6.953319599999999,107.5934018,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
Nasi goreng sama rasa,"Jalan Cibaduyut No.155, RT.01/RW.06, Cibaduyut",-6.9535848,107.5934653,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Super kebab premium 91,"2HWV+G9C, Jalan Cibaduyut, Cibaduyut",-6.9536861,107.5933931,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Burger bangor cibaduyut ( ex mekarwangi raden rangga ),Jalan Cibaduyut No.151,-6.9532627,107.5934077,OPERATIONAL,4.5,82,"restaurant, food, point_of_interest, establishment",Unknown
Pecel Lele Kang Agus,"Pinggir ALFAMART JEDER, Jalan Cibaduyut No.157, Cibaduyut",-6.953733,107.5934091,OPERATIONAL,3.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Red Sate Cibaduyut,"Jalan Cibaduyut No.157, Cibaduyut",-6.953733,107.5934091,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
Lumpia Basah Bandung,"depan toko megah kencana samping indomaret, Jalan Cibaduyut No.151",-6.953211599999999,107.5933364,OPERATIONAL,Unknown,Unknown,"store, restaurant, food, point_of_interest, establishment",Unknown
NASI BEBEK MADURA,"Jalan Cibaduyut No.96, Cibaduyut",-6.953778799999999,107.5931965,OPERATIONAL,4.8,4,"restaurant, food, point_of_interest, establishment",Unknown
Mie Kocok Batagor Bandung D'warungku,"Jalan Cibaduyut No.147, Cibaduyut Kidul",-6.9532132,107.5935201,OPERATIONAL,4.3,4,"restaurant, food, point_of_interest, establishment",Unknown
