name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sajianlestari,"Jalan Cigadung Wetan No.29, Cigadung",-6.880023200000001,107.6288343,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Warung Makan Dina,"4J9G+MFJ, Jalan Pesantren, Cigadung",-6.880784,107.6261289,OPERATIONAL,4,4,"restaurant, food, point_of_interest, establishment",Unknown
Coming Soon Coffee & Resto,"Jalan Cigadung Raya Tengah No.52, RT.02/RW.06, Cigadung",-6.882496699999999,107.6283402,OPERATIONAL,4.4,9,"store, restaurant, food, point_of_interest, establishment",Unknown
Waroeng Aceh Armed,"Jalan Cigadung Raya Barat No.7, Cigadung",-6.878067099999999,107.6238117,OPERATIONAL,4.7,184,"restaurant, food, point_of_interest, establishment",1
Little Wings Hub,"Jalan Cigadung Raya Barat No.2, Cigadung",-6.876544699999998,107.6234521,OPERATIONAL,4.1,149,"library, restaurant, food, point_of_interest, establishment",2
Saung amih,"4JCH+23F, Sadu Jalan Tubagus Ismail, alfatu",-6.8799464,107.6276583,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Coffee SAE & pempek SAE,"Gang Alfa 1 No.72, Cigadung",-6.879312499999998,107.6277821,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Ayam warung lembah,"Gang Alfa 1 No.72, Cigadung",-6.8793146,107.6277952,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Gorengan Barokah,Gang Alfa 1 No.74,-6.8792898,107.6277916,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Mie Kocok dan Seblak Ceu idas,"Gang Pesantren Tengah No.123, Cigadung",-6.880359400000001,107.6276627,OPERATIONAL,4.5,13,"restaurant, food, point_of_interest, establishment",Unknown
FM GAME STORE CIGADUNG,"Jalan Cigadung Wetan, Cigadung",-6.880229,107.6279577,OPERATIONAL,5,3,"store, restaurant, food, point_of_interest, establishment",Unknown
Warung Lotek Ibu Anih,"4J9H+R2F, Gang Pesantren Tengah, Cigadung",-6.8804463,107.6275521,OPERATIONAL,4.4,7,"restaurant, food, point_of_interest, establishment",Unknown
Waroeng Bu Nani,"Gang Alfa 1 No.69, Cigadung",-6.879260599999999,107.6279806,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Alva,"4JCH+274, Cigadung",-6.879992199999999,107.6282129,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Ciweut'22,"Jalan Cigadung Wetan No.22, Cigadung",-6.8798374,107.6283567,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Ayam Gang Tengah,"Gang Pesantren Tengah No.6, Cigadung",-6.8807372,107.6277697,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
