name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Ropang Pizza,"Jalan Kembar I No.27, Cigereleng",-6.9440398,107.6102357,OPERATIONAL,4.5,101,"restaurant, food, point_of_interest, establishment",1
Warung Opera Jawa,"Jalan Mochammad Ramdhan No.73, Cigereleng",-6.9349571,107.6129083,OPERATIONAL,4.3,9,"restaurant, food, point_of_interest, establishment",Unknown
Uri-Don,Jalan Kembar Baru Selatan I No.20,-6.940473000000001,107.6111054,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Baraya Ayam Geprek,"3J56+X8C, Cigereleng",-6.940066799999999,107.6107731,OPERATIONAL,3.3,3,"restaurant, food, point_of_interest, establishment",Unknown
Toppie Burger - Kembar,Jalan Kembar Baru No.14A,-6.940004099999999,107.6114655,OPERATIONAL,4.6,107,"restaurant, food, point_of_interest, establishment",Unknown
NGANTRI CHAI,Jalan Kembar Baru No.32,-6.9399656,107.6101168,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Mang Ado,"Jalan Kembar Baru No.36, Cigereleng",-6.939990699999999,107.6099805,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown
ayam warbar,"Jalan Kembar I No.4, Cigereleng",-6.940474499999999,107.6095643,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pempek Ci Lina,Jalan Kembar Baru Selatan II No.14,-6.941521000000001,107.6117853,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
Red Lantern Kitchen,"Jalan Kembar Baru No.3-17, Cigereleng",-6.9400678,107.6119746,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
"TERAS KAFE (Ayam-Ayaman), Kembar","Jalan Kembar Baru No.8, Cigereleng",-6.940031899999998,107.6120535,OPERATIONAL,4.8,8,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Tahu Sin Sien Hin,"Jalan Kembar Tengah VIII No.1 A, Cigereleng",-6.9422082,107.6115934,OPERATIONAL,4.8,5,"restaurant, food, point_of_interest, establishment",Unknown
