name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Cuple Korean Drinks,"Jalan Cigondewah Kaler No.6, Cigondewah Kaler",-6.9353837,107.5629214,OPERATIONAL,3,2,"restaurant, point_of_interest, food, establishment",Unknown
Seblak Prasmanan OZF,"Jalan Cigondewah Kaler, Cigondewah Kidul",-6.9351601,107.5619375,OPERATIONAL,4.8,20,"restaurant, point_of_interest, food, establishment",Unknown
Asep fetir fals mania,"3H76+HRW, Cigondewah Kaler",-6.936023899999999,107.5620649,OPERATIONAL,4.3,6,"restaurant, point_of_interest, food, establishment",Unknown
Warung mie Jebew Teh neneng,"Jalan Cigondewah Kidul blok jambangan No.76, RT.01/RW.10",-6.936368700000001,107.5623462,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Nasi Goreng Azwa,"3H77+VF2, Jalan, Cigondewah Kaler",-6.9353566,107.5636421,OPERATIONAL,4.3,29,"restaurant, point_of_interest, food, establishment",Unknown
PUDING FLAVORY,Jalan Cigondewah Kaler RT.5/RW.2,-6.935650399999999,107.5612193,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown
WARTEG 99,"3H77+PFX, Jalan Cigondewah Kaler, Cigondewah Kaler",-6.935629800000001,107.5637461,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Seblak Cirambay,"3H76+JFW, Cigondewah Kaler",-6.935882399999999,107.561215,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
BUBUR AYAM AM,"3H76+VCX, Cigondewah Kaler",-6.935295500000001,107.5610655,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Warnas bunda nizam,"Warnas Bunda Nizam, Jalan Baturengat, cigondewah hilir",-6.934188399999998,107.5615421,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Nasi Goreng purnama,Jalan Cigondewah Kaler Jalan Baturengat,-6.934188399999998,107.5615421,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
AYAM GEPREK NONO,"3H87+6FF, Cigondewah Kaler",-6.9344446,107.5636837,OPERATIONAL,4,4,"restaurant, point_of_interest, food, establishment",Unknown
Seblak Ceu Hj Awo,"3H77+984, Cigondewah Kaler",-6.936612599999999,107.5633319,OPERATIONAL,4.8,6,"restaurant, point_of_interest, food, establishment",Unknown
Meii_food,"3H76+FF9, Cigondewah Kaler",-6.9363357,107.5612341,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
SEBLAK PRASMANAN RELASA FOOD,"3H77+52R, Jalan, Cigondewah Kaler",-6.9370167,107.5625246,OPERATIONAL,3,1,"restaurant, point_of_interest, food, establishment",Unknown
Bubur Sumsum Online,"Jalan Cigondewah Kaler No.1, Cigondewah Kaler",-6.935777499999999,107.5641252,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
