name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Indo Waffel,"JL. Taman Holis Raya, Taman Holis Indah Blok F3 No. 4, Bandung, Cigondewah Kidul",-6.943435799999999,107.5617839,OPERATIONAL,4.6,5,"restaurant, food, point_of_interest, establishment",Unknown
Warung Holis BRAY,Cigondewah Kidul,-6.9410359,107.563059,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown
Warung Kanjeng Mami TKI 3,"Taman Holis Indah 1 D2 no 60, Cigondewah Kidul",-6.941181100000001,107.5632735,OPERATIONAL,5,7,"restaurant, food, point_of_interest, establishment",Unknown
warung bapak cecep,"3H57+R4F, Cigondewah Kidul",-6.9405636,107.5629003,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
PERHYANGAN ASRI,"Perum Parahyangan asri No.16 blok D3, RT.005/RW.010, kelurahan/desa, Singajaya",-6.941992799999999,107.5619769,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Resto mamah arga,"Perum Parahyangan asri No.16 blok D3, RT.005/RW.010, kelurahan/desa, Singajaya",-6.941992799999999,107.5619769,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bakso kraton 2,"GBI, Jalan Griya Bandung Indah Blok D3 No.23B",-6.941992799999999,107.5619769,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
warung mba sylvi,"3H56+FMW, Cigondewah Kidul",-6.941265399999999,107.5616975,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Mawud,"3H57+FHR, Bandung",-6.941262099999999,107.5638771,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Warung NASKUN,"Jalan Vila Bandung Indah No.19 blok D3, Cigondewah Kidul",-6.941783399999999,107.5615408,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ayam Penyet Ma'Nien,"Jalan Terusan Pasar Cibeureum Blok D3 No.34-35, Cigondewah Kidul",-6.941789,107.5615142,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ceu bibah,"Kampung blok sawah RT.2 rw2, Cigondewah Kidul",-6.940121,107.5631683,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Nasi Bakar Juara Taman Holis,"3H57+JHW, Cigondewah Kidul",-6.9408782,107.5639619,OPERATIONAL,4.4,40,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Surabaya,"Jalan Taman Holis Indah Ruko D9, Cigondewah Kidul, Bandung Kulon, Cigondewah Kidul",-6.9407855,107.5640233,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
CUANKY mg DAMNO,"block sawah mesjid al-hamidan No.samping, Cigondewah Kidul",-6.9405053,107.5614641,OPERATIONAL,5,12,"restaurant, food, point_of_interest, establishment",Unknown
Mie Lezat Restaurant,"Jalan Taman Holis Indah No.11, Cigondewah Kidul",-6.9406943,107.5640694,OPERATIONAL,4.5,225,"restaurant, food, point_of_interest, establishment",Unknown
WARUNG CERBONAN,Indonesia,-6.9406729,107.5641058,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Toko Kue Daniel,"Blok E5 No., Jalan Taman Holis Indah I Blok C3 No.11, Cigondewah Kidul",-6.942629999999999,107.5615801,OPERATIONAL,4.3,12,"restaurant, food, point_of_interest, establishment",Unknown
MieRanda,"Jalan Taman Holis Indah B No.15 F6 no, Cigondewah Kidul",-6.941256000000001,107.5644353,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
