name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TTALs Korean BBQ,"Jalan Taman Holis Indah No.21 Blok C1, Cigondewah Rahayu",-6.9462271,107.5618484,OPERATIONAL,4.7,1160,"restaurant, food, point_of_interest, establishment",2
My Kitchen Taman Holis Indah 1,"Jalan Taman Holis Indah I No.5 blok c5, RT.07/RW.06, Cigondewah Rahayu",-6.948114,107.5633234,OPERATIONAL,3.7,10,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek by Glatko Food&Drink,"Jalan Taman Holis Indah No.1, Cigondewah Rahayu",-6.9481728,107.5634249,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Steaky steak Holis,"C5 nomor 3, Jalan Taman Holis Indah I No.C5, RW.20, Cigondewah Rahayu",-6.948049899999999,107.5631781,OPERATIONAL,5,10,"restaurant, food, point_of_interest, establishment",Unknown
Pempek Holis,"Blok C5 No, Jalan Taman Holis Indah I No.18, Cigondewah Rahayu",-6.948217100000001,107.5631271,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
RM Manggis Chinese Food Since 1999,"Taman Holis Indah 1 Blok C4 No.11, Cigondewah Rahayu",-6.947446599999999,107.5631131,OPERATIONAL,4.8,146,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Nasi Kuning Mas Danu,"3H27+W4R, Jalan Taman Holis Indah I, Cigondewah Rahayu",-6.947636200000001,107.562764,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Ayam Rahayu,"3H27+MMC, Jalan Cigondewah Kidul, Cigondewah Rahayu",-6.948300499999998,107.5641297,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Pendawa,"Jalan Cigondewah Rahayu No.123, RT.04/RW.04, Cigondewah Rahayu",-6.947873899999999,107.5644109,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Fanpao FanFan Bapao,Jalan Taman Holis Indah Blok C3 No.10,-6.9473117,107.5627344,OPERATIONAL,4.8,4,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Liem Kim,"Jalan Taman Holis Indah Blok C5 No.63, Cigondewah Rahayu",-6.948573400000001,107.562644,OPERATIONAL,5,55,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Kopi O'gutt,"Jalan Taman Holis Indah No.20 No.C2, Cigondewah Rahayu",-6.947638199999999,107.5623721,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
WARUNG PUTRA,Indonesia,-6.947215100000001,107.5644372,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Jl.cigindewah rahayu,"3H37+4RJ, Jalan Cigondewah Rahayu, Cigondewah Rahayu",-6.947174599999999,107.5645251,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi kuning seruni,"3H37+4RJ, Jalan Cigondewah Rahayu, Cigondewah Rahayu",-6.947174599999999,107.5645251,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
TOKO NUHA TEKSTIL,Indonesia,-6.947076300000001,107.564543,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Hao De (Bagan Food),Jalan Taman Holis Indah 1 Blok C2 No.51,-6.947948599999999,107.5620705,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
