name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Selaras Guest House & Restaurant,"Jalan Tm. Cibeunying Selatan No.45, Cihapit",-6.904762499999999,107.6237432,OPERATIONAL,4.5,1101,"lodging, restaurant, food, point_of_interest, establishment",Unknown
Mang Kabayan,"Jl. Sunda No.24 Kebon Pisang Sumurbandung Bandung Jawa Barat, Cihapit",-6.909949800000001,107.625137,OPERATIONAL,4.8,11,"restaurant, food, point_of_interest, establishment",2
Sate Taichan Bengawan,"Jalan Taman Cibeunying No.05, Cihapit",-6.9081362,107.6263179,OPERATIONAL,4.6,1900,"restaurant, food, point_of_interest, establishment",2
"Bakmi Jawa ""Plengkung Gading"" ( Bakmi PG )","Jalan Cendana No.7, Cihapit",-6.908916999999999,107.6280875,OPERATIONAL,4.4,1056,"restaurant, food, point_of_interest, establishment",2
Cozy Cube Coffee,"3JVG+7CW, Jalan Taman Cibeunying Utara No.4, Cihapit",-6.906804999999999,107.6259766,OPERATIONAL,4.5,1411,"cafe, store, restaurant, food, point_of_interest, establishment",2
DOUBLESTEAK Bengawan,"Jalan Bengawan No.79, Cihapit",-6.9063,107.6264699,OPERATIONAL,4.2,1187,"restaurant, food, point_of_interest, establishment",2
Dapoer Heritage by Dapoer Penyet,"Jalan Lapangan Supratman No.1, Cihapit",-6.907868999999999,107.629019,OPERATIONAL,4.7,930,"restaurant, food, point_of_interest, establishment",Unknown
Shabu Hachi Cilaki Bandung,"Jalan Cilaki No.41, Cihapit",-6.9054096,107.6270496,OPERATIONAL,4.8,12021,"restaurant, food, point_of_interest, establishment",3
Rumah Makan Boemi Mitoha,"Jalan Ciliwung No.15, Cihapit",-6.905507999999998,107.626144,OPERATIONAL,4.6,7540,"restaurant, food, point_of_interest, establishment",2
Beurgeur Burger,"Jalan Ciliwung No.2, Cihapit",-6.9052199,107.6223925,CLOSED_TEMPORARILY,4.7,94,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Bellamie Boulangerie,"Jalan Cihapit No.35, Cihapit",-6.906895899999999,107.6237194,OPERATIONAL,4.6,7757,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",2
Lomie Ciliwung,"3JWH+57P, Jalan Ciliwung, Cihapit",-6.9045418,107.628216,OPERATIONAL,4.7,984,"restaurant, food, point_of_interest, establishment",1
Mom's Chicken,"Jalan Anggrek No.55, Cihapit",-6.9106586,107.6301488,OPERATIONAL,4.6,7,"restaurant, food, point_of_interest, establishment",2
Bakso Malang Mas Joko,"Jalan Anggrek No.45, Cihapit",-6.911637199999999,107.6293957,OPERATIONAL,4.4,154,"restaurant, food, point_of_interest, establishment",Unknown
Cafe Riung Panyileukan,"Jalan Tm. Cibeunying Selatan No.37, Cihapit",-6.9053753,107.6239774,OPERATIONAL,4.5,686,"restaurant, food, point_of_interest, establishment",2
Bebek Goreng H.Slamet,"Jalan Supratman No.45, Cihapit",-6.9035616,107.6276396,OPERATIONAL,4.3,690,"restaurant, food, point_of_interest, establishment",2
Roemah Nenek,"Jalan Tm. Cibeunying Selatan No.47, Cihapit",-6.904521399999999,107.623558,OPERATIONAL,4.3,2294,"cafe, restaurant, food, point_of_interest, establishment",2
