name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung Cm,"Jalan Cijawura Hilir No.386C, Cijaura",-6.964548700000001,107.6565407,OPERATIONAL,4.2,5,"restaurant, food, point_of_interest, establishment",Unknown
Tan's Durian & Frozen Food,"2MR2+FC3, Cijaura",-6.958860899999999,107.6510509,OPERATIONAL,4,5,"restaurant, food, point_of_interest, establishment",Unknown
Ikan Bakar Sambal Pesisir Cabang ciwastra,"Jalan Kencanawangi Utr II No.7, Cijaura",-6.9589781,107.651522,CLOSED_TEMPORARILY,5,11,"restaurant, food, point_of_interest, establishment",Unknown
Ketoprak Khas Jakarta Christy (Christy Baking),"Jalan Kencanawangi Utara No.16, Cijaura",-6.9587543,107.651879,OPERATIONAL,4.4,7,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Arabic Ummu Asyam,"Jalan Kencana Asri No.20 Blok F, Cijaura",-6.9599732,107.6511629,OPERATIONAL,5,58,"restaurant, food, point_of_interest, establishment",Unknown
Sop Kaki Sapi Rins Food,"Jalan Marga Asri 4 No.19, Cijaura",-6.958378999999999,107.6524945,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Salamina Kopi,"Jalan Kencana Wangi I No.34-A, Cijaura",-6.959588999999999,107.652325,OPERATIONAL,5,8,"cafe, store, restaurant, food, point_of_interest, establishment",Unknown
Mamba Kitchen,Jalan Kencana Wangi I No.123,-6.959632999999998,107.6524943,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Pakee Nasii Street Food,"Jalan Lengkong Kecil no 24, Jalan Marga Asri No.52, Cijaura",-6.959137399999999,107.6527421,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Sawah,"2MV2+43P, Jalan Hj. Ratnamah II, Cijaura",-6.957156899999999,107.6502119,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
"Mango sr, seblak cireng maknyuus","Komp jakapurwa c46 jl jakamulya RT 003/005 Kel, Kujangsari",-6.960692799999999,107.6501298,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam dan Ikan Coco,"2MR3+26M, Cijaura",-6.959904,107.6530608,OPERATIONAL,5,38,"restaurant, food, point_of_interest, establishment",Unknown
Balong Empire,Cijaura,-6.959236300000001,107.6533236,CLOSED_TEMPORARILY,5,5,"restaurant, food, point_of_interest, establishment",Unknown
kedai bu ginonk's,"Jalan Margawangi II No.74, Cijaura",-6.9607787,107.6522406,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dapur M,"Jalan Margawangi II No.72, Cijaura",-6.960934000000001,107.6522751,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
JASHA,"Jalan Batu Permata No.21, Cijaura",-6.9588036,107.6483741,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Bistik HALA77,Jalan Marga Asri II No.2,-6.9568521,107.6528339,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bakmi SC,"Jalan Margawangi I No.90, Cijaura",-6.9614635,107.6518576,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
