name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pizza Hut Delivery - PHD Indonesia,"Ruko Melong Nirwana.132, Jalan Melong Asih No.66, Cijerah",-6.919315099999999,107.5665479,OPERATIONAL,4.5,1337,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2
Restorja cijerah,"Depan Masjid Alfitroh, Jalan Cijerah I, Cijerah",-6.926653399999999,107.5644414,OPERATIONAL,4.6,46,"restaurant, food, point_of_interest, establishment",Unknown
Selera Samudra,Jalan Melong Asih No.52A,-6.919467699999998,107.5673207,OPERATIONAL,5,24,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Crisbar - Melong Asih Cijerah,"Jalan Melong Asih No.62, Cijerah",-6.91949,107.5667789,OPERATIONAL,4.8,1437,"restaurant, food, point_of_interest, establishment",Unknown
Geprek Gold Chick - Cijerah Melong Asih,"Jalan Melong Asih No.66A, Cijerah",-6.919325499999999,107.5665942,OPERATIONAL,1.9,34,"restaurant, food, point_of_interest, establishment",Unknown
Sambel Bakar Leha,"3HJ8+6JQ, Cijerah",-6.919418800000001,107.5666006,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Soto Madura Melong,"3HJ8+4MV, Jalan Melong Raya, Melong",-6.9196294,107.5666837,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Woori Eumsik (Korean Food),"Jalan Melong Asih No.55, Cijerah",-6.919781899999999,107.5675182,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Cirawang simisdasem cijerah,"Jalan Melong Asih No.53, Cijerah",-6.9197852,107.5676496,OPERATIONAL,4,31,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Padang Sambalado Jaya,"Jalan Melong Asih No.53, Cijerah",-6.919793500000001,107.5676503,OPERATIONAL,4.8,17,"restaurant, food, point_of_interest, establishment",Unknown
Sate & Soto Ayam Cak Doel,"Jalan Melong Asih No.67b, Cijerah",-6.9196274,107.5664376,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Eduun Teh Rina,"Jalan Melong Asih No.36, Cijerah",-6.919605,107.568058,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Oseng mercon X Angkringan Mang Jago,"3HJ9+34H, Jalan Melong Asih, no63b",-6.919815499999999,107.5678535,OPERATIONAL,4.9,13,"restaurant, food, point_of_interest, establishment",Unknown
Saung Steak Teman Bahagia,"Jalan Melong Asih No.68, Cijerah",-6.9192999,107.5661677,OPERATIONAL,4.3,20,"restaurant, food, point_of_interest, establishment",Unknown
Waroenk Steak 99,"Jalan Melong Asih Gang Manunggal IIC No.27, RT.7/RW.9, Cijerah",-6.9182641,107.5663306,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Kriuk Padasuka Bandung,"Jalan Melong Asih No.67C, Cijerah",-6.9196247,107.5663079,OPERATIONAL,4.2,160,"restaurant, food, point_of_interest, establishment",Unknown
Kuy! Steak - Melong Cijerah,"Jalan Melong Asih No.36, Cijerah",-6.919683199999999,107.5681043,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
PECEL LELE TANIA,"Jalan Melong Asih No.47, Cijerah",-6.919842899999999,107.5679401,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
aTe Coffee N Eatery,"Jalan Melong Asih No.67A, Cijerah",-6.9196194,107.5662908,OPERATIONAL,5,42,"restaurant, food, point_of_interest, establishment",Unknown
