name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Dapur Bu De,"3P34+C7Q, Jalan Cilameta, Cimenerang",-6.946384499999999,107.7056463,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Warung Nasi Nd,"3P34+Q9W, Jalan Cimincrang, Cimenerang",-6.9455248,107.7059671,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
WARUNG NASI SUNDA,"3P34+F87, Jalan Cimincrang, Cimenerang",-6.9463265,107.7057947,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
WARNAS MAMAH FAQIH,Indonesia,-6.9463325,107.7058172,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Capuccino cincau seblak dan pop ice boba,"Jalan Cimincrang No.rt03 rw 05, Cimenerang",-6.945628399999999,107.7060439,OPERATIONAL,3,1,"restaurant, point_of_interest, food, establishment",Unknown
Bakso Monggo Mampir,"Jalan Cimincrang No.28, RT.01/RW.12, Cipadung Kidul",-6.946243099999999,107.7059182,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Nasi Goreng Roda Perintis,"Jalan Cimincrang No.28, RT.01/RW.12, Cipadung Kidul",-6.9463377,107.7058977,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Warung Seblak Bu Enung,"3P34+RCF, Jalan Cimincrang, Cimenerang",-6.945425499999999,107.7060594,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown
Pempek Palembang 2121 Wong Kito,"3P44+36H, Jalan Cimincrang, Cimenerang",-6.944807399999999,107.7056141,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Seblak Medina,"3P34+VCG, Jalan Cimincrang, Cimenerang",-6.945333499999999,107.7060902,OPERATIONAL,5,10,"restaurant, point_of_interest, food, establishment",Unknown
Kedai Sultan,"Jalan Cilameta, Cimenerang",-6.945549299999999,107.7038737,OPERATIONAL,4.8,43,"restaurant, point_of_interest, food, establishment",Unknown
Es Alpukat Kocok Champion,Jalan Cimincrang,-6.946757299999999,107.7058532,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Sop Iga Mandiri,"3P34+587, Cimenerang",-6.947085800000001,107.7058028,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
KOSAKO BURGER & HOTDOG,"Jalan Cimincrang RT.01/RW.04, Cimenerang",-6.9470342,107.7060784,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Mie Bakso Urat Karasa,"3P34+5F8, Jalan Cimincrang, Cimenerang",-6.9470988,107.7062142,OPERATIONAL,5,4,"restaurant, point_of_interest, food, establishment",Unknown
Rumah Makan Lesehan Ayam serundeng 15,"Gang Haji Wahab RT.001/RW.04, Cimenerang",-6.9474697,107.7057713,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Mie Baso Barokah Mas Joko Solo,"Jalan Cimincrang, Cimenerang",-6.944280000000001,107.7063233,OPERATIONAL,4.5,66,"restaurant, point_of_interest, food, establishment",Unknown
