name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Nasi Soto Ayam Mang Rudi,"3P56+QJR, Cipadung Kidul",-6.9405046,107.7115069,OPERATIONAL,3,1,"restaurant, point_of_interest, food, establishment",Unknown
Jawa Food 968 lesehan khas jogyakarta,"Jl.terusan panyileukan, Gang Darussalam bpr 2 No.31, Cipadung",-6.9422289,107.7123782,OPERATIONAL,4.8,42,"restaurant, point_of_interest, food, establishment",Unknown
Chiken krenchise,"3P57+6CW, Jl. Terusan Komplek Citra Biru, Mekarsari, RT.05/RW.09, Pasir Biru",-6.9418951,107.7135725,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Rain District Cibiru,"Jalan Raya Panyileukan Komplek Bumi Panyileukan Blok D2 No.12, Cipadung Kidul",-6.9416617,107.7139722,OPERATIONAL,4.5,6,"restaurant, point_of_interest, food, establishment",Unknown
Doyan jajan,Jalan Raya Panyileukan g 8 no 5,-6.941870099999999,107.7138953,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Baso Malang Mas Jay Panyileukan,"d2 no, Jalan Raya Panyileukan No.9, Cipadung Kidul",-6.941550799999999,107.7140582,OPERATIONAL,4.7,55,"restaurant, point_of_interest, food, establishment",Unknown
Mamalia susu murni dan Roti kukus panggang ijo kadet,"Jalan Raya Panyileukan No.3, Cipadung Kidul",-6.941328999999999,107.7141328,OPERATIONAL,4.3,4,"restaurant, point_of_interest, food, establishment",Unknown
Kurmau Jus Kurma,"Komp. Bumi Panyileukan B6 No.6, Cipadung Kidul",-6.940177599999999,107.7139632,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Es Goyobod Mangkok'o Panyileukan,"Sebelah Indomaret, Jl.Raya Komplek Bumi Panyileukan No.6 Blok D2, Cipadung Kidul",-6.941131299999999,107.7142196,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
d'BestO Panyileukan,"3P57+GMQ, Jalan Raya Panyileukan, Cipadung Kidul",-6.9411706,107.7142293,OPERATIONAL,3,41,"restaurant, point_of_interest, food, establishment",Unknown
Sei sapi,"Komplek Bumi Panyileukan No.12, Cipadung Kidul",-6.9416322,107.7141341,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
AYAM GEPREK PANGHEGAR PANYILEUKAN,"3P57+8MR, Jalan Raya, Cipadung Kidul",-6.941647,107.7141342,OPERATIONAL,4.3,3,"restaurant, point_of_interest, food, establishment",Unknown
Kantin Saung Mangga,"Trs panyileukan kav p & K no 1b, Depan SD juara, RT.06/RW.01, Cipadung Kidul",-6.939332799999999,107.7116042,OPERATIONAL,5,8,"restaurant, point_of_interest, food, establishment",Unknown
"Baso goreng dan takoyaki ""Ci'Madam""",Jalan Pesantren Al-Mahabbah,-6.9399902,107.7107995,OPERATIONAL,4.4,10,"restaurant, point_of_interest, food, establishment",Unknown
Ayam Goreng Bacem RR,"Depan Centro Cell Sebelah cluster panyileukan regency, Komplek Bumi Panyileukan",-6.942070999999999,107.7139561,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Sambal Tiga Rasa,"3P56+596, Jalan Terusan Panyileukan, Cipadung Kidul",-6.942278399999998,107.7109744,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Ayam Goreng NINI Panyileukan,"Komplek Bumi Panyileukan Jalan Raya Panyileukan No.3, Cipadung Kidul",-6.941377300000001,107.7142545,OPERATIONAL,4.8,4,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown
