name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Moms kitchen,Jalan Panutan IV No.8,-6.9217863,107.7042834,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Gorengan Ibu Euis,Jalan Panutan Raya,-6.922121300000001,107.7045245,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
"Ayam Pejantan Bakar dan Goreng ""ABUD""","Jalan Panutan VI Komp. Panghegar Permai No.11 Rt/Rw. 07/09, Cipadung Kulon",-6.921954799999999,107.7039934,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Soto Semarang Bu Pri,"Jalan Sukamaju No.32, Cipadung Kulon",-6.921662200000001,107.7057143,OPERATIONAL,4,3,"restaurant, food, point_of_interest, establishment",Unknown
KUY STEAK SUKAMAJU,"Jalan Sukamaju No.48, RT.03/RW.05, Cipadung Kulon",-6.9219202,107.7058477,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Padang Minang Amijaya,"Jalan Sukamaju No.45A, Cipadung Kulon",-6.9217453,107.7059003,OPERATIONAL,4.1,10,"restaurant, food, point_of_interest, establishment",Unknown
Warung sate Maranggi & nasi sukamaju,"Unnamed Road, Cipadung Kulon",-6.921786999999999,107.7059015,OPERATIONAL,4.3,33,"restaurant, food, point_of_interest, establishment",Unknown
Sate Taichan Enduls,"Jl. sukamaju, kelurahan No.30, Cipadung Kulon",-6.9216319,107.7059438,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown
Pempek al istiqomah sukamaju,"3PH4+496, Jalan Sukamaju, Cipadung Kulon",-6.9222193,107.7058753,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Endolita Mama icha,"Jalan Sukamaju No.06, Cipadung Kulon",-6.9204566,107.7052016,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Sari Pasanggrahan,"Jalan Pasanggrahan Raya No.13, Cipadung Kulon",-6.923074600000001,107.7040813,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Sushi Danchi,"Jalan Pasanggrahan Raya No.11, Cipadung Kulon",-6.9230792,107.704045,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Mie Akup,"3PH4+H9G, Cipadung Kulon",-6.921073000000002,107.7059467,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
My Sweet Kitchen,"3PG3+MVH, Jalan Pasanggrahan VII, Cipadung Kulon",-6.923302899999999,107.7047392,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Juusu nomimono(ジュースのみもの）,"Jalan Pasanggrahan III No.10, Cipadung Kulon",-6.923293800000001,107.7042233,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Dapur Medi,Indonesia,-6.9232031,107.703829,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Gofood kedai tetew,"Jalan Pasanggrahan VII No.19, Cipadung Kulon",-6.9234184,107.7050733,OPERATIONAL,3.4,14,"restaurant, food, point_of_interest, establishment",Unknown
