name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PB. Mekar Mulya,"3PGC+Q4P, Jalan Sukasari, Cipadung",-6.923046099999999,107.7203344,OPERATIONAL,3.8,24,"store, restaurant, food, point_of_interest, establishment",Unknown
Martabak 2H,Jl. Desa Cipadung No.214CipadungKec,-6.9241403,107.7193215,OPERATIONAL,4.5,17,"restaurant, food, point_of_interest, establishment",Unknown
YUMMA KITCHEN,"Jalan Desa Cipadung No.216, Cipadung",-6.924111300000001,107.7193809,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Ibu Djum,"3PG9+8P4, Jalan Desa Cipadung, Cipadung",-6.9242374,107.719318,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi Goreng Adinda Mang Paat,Jalan Desa Cipadung No.217,-6.9239969,107.7194229,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Resto Andaliman,"3PG9+CQ4, Jalan Desa Cipadung, Cipadung",-6.923980599999999,107.7194375,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai cipadung 217,"Jalan Desa Cipadung No.217, Cipadung",-6.924288400000001,107.7194697,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bola Obi dan Nasi Kebuli,"3PG9+CRC, Jalan Desa Cipadung, Cipadung",-6.9239855,107.7195676,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
KETOPRAK CIPADUNG,"Ruko Rumah Cemara Jalan Desa Cipadung No.2, Cipadung",-6.923780900000001,107.7195059,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Gorengan fauzi,"Jalan Desa Cipadung Ruko Cluster Cemara No.3, Cipadung",-6.923761900000001,107.719513,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Martabak Joss,"Jalan Desa Cipadung No.30, RT.03/RW.13, Cipadung",-6.9236296,107.719672,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
SEAFOOD NASI UDUK& PECEL BEBEK GORENG,"3PG9+4HM, Jalan Desa Cipadung, Cipadung",-6.924665999999999,107.7189134,OPERATIONAL,4.6,50,"restaurant, food, point_of_interest, establishment",Unknown
Dimsum 2711,Jalan Desa Cipadung No.121,-6.923444700000001,107.7196105,OPERATIONAL,3.9,18,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Kantin Biru Tegal Cabang Manisi,"3PG9+4H7, Jalan Desa Cipadung, Cipadung",-6.9247021,107.7189251,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Ayam Mang Dim,"Jalan Desa Cipadung, Cipadung",-6.924712099999999,107.7189404,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
"Mie Jebew, Mie Gacor, Dimsum CLBK Cipadung","sebelah Gapura Komp, Jalan Cipadung Jalan Kalapa Tilu",-6.924691200000001,107.7189035,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
