name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sensa Hotel,"Ciwalk mall, Jalan Cihampelas No.160, Cipaganti",-6.8948142,107.6049463,OPERATIONAL,4.5,4368,"lodging, restaurant, food, point_of_interest, establishment",Unknown
favehotel Premier - Cihampelas,"Jalan Cihampelas No.129, Cipaganti",-6.896211099999999,107.6034164,OPERATIONAL,4.5,7297,"lodging, restaurant, food, point_of_interest, establishment",Unknown
Grand Tjokro,"Jalan Cihampelas No.211-217, Cipaganti",-6.886319599999999,107.603844,OPERATIONAL,4.5,15874,"spa, lodging, restaurant, food, point_of_interest, establishment",Unknown
Sosisqu,"Jalan Cipaganti No.90, Cipaganti",-6.894474799999999,107.6027976,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Dahapati,"Jalan Cipaganti No.146, Cipaganti",-6.887343799999999,107.602383,OPERATIONAL,4.5,3391,"restaurant, food, point_of_interest, establishment",2
Solaria - Cihampelas Walk,"Solaria, Cihampelas Walk, Coblog, Jalan Cihampelas Walk No.160 Lantai LG, Cipaganti",-6.893888,107.6055754,OPERATIONAL,4.5,3069,"restaurant, food, point_of_interest, establishment",2
Raa Cha Suki & BBQ Cihampelas Walk,"Jalan Cihampelas No.160, Cipaganti",-6.8934803,107.6051751,OPERATIONAL,4.5,778,"restaurant, food, point_of_interest, establishment",2
HokBen - Ciwalk,"Ciwalk, LG Broadway Cihampelas Walk, Jalan Cihampelas No.160, Cipaganti",-6.8931219,107.6055268,OPERATIONAL,4.2,327,"restaurant, food, point_of_interest, establishment",2
KFC • CiWalk,"Jalan Cihampelas No.160, Cipaganti",-6.893205999999999,107.605483,OPERATIONAL,4.5,1407,"restaurant, food, point_of_interest, establishment",2
Roffee's Melty Pudding Cihampelas Walk,"Mall, Jalan Cihampelas Jalan Cihampelas Walk No.160 Lantai Dasar, Cipaganti",-6.893606999999999,107.6042073,OPERATIONAL,4.8,8,"restaurant, food, store, point_of_interest, establishment",Unknown
"KABOBS - Premium Kebab, Cihampelas Walk Lt. LG","Cihampelas Walk, Jalan Cihampelas No.160 Lantai LG, Cipaganti",-6.8935635,107.6048512,OPERATIONAL,4.5,257,"restaurant, food, point_of_interest, establishment",2
Starbucks Coffee - Ciwalk,"Cihampelas Walk Parking Lot, Jalan Cihampelas No.160 Lantai Ground, Cipaganti",-6.8937126,107.6053053,OPERATIONAL,4.6,1270,"cafe, restaurant, food, store, point_of_interest, establishment",2
Bakso Malang Karapitan Cihampelas Walk,"Cihampelas Walk, Jalan Cihampelas No.160, Cipaganti",-6.893988,107.6051379,OPERATIONAL,3.8,225,"restaurant, food, point_of_interest, establishment",2
Gokana Ramen & Teppan Ciwalk,"Cihampelas Walk, Jalan Cihampelas No.160, Cipaganti",-6.893771500000001,107.6056961,OPERATIONAL,4.3,1425,"restaurant, food, point_of_interest, establishment",2
Champ Group - Platinum Cihampelas Walk,"Cihampelas Walk Union Square, Jalan Cihampelas No.160, Cipaganti",-6.894108,107.6053713,OPERATIONAL,4.4,478,"restaurant, food, point_of_interest, establishment",2
Wendy's - Ciwalk,"Cihampelas Walk, Jalan Cihampelas No.160 Lt. Ground, Cipaganti",-6.894441199999999,107.6046792,OPERATIONAL,3.8,150,"restaurant, food, point_of_interest, establishment",2
Burger King Cihampelas Walk,"Jalan Cihampelas Walk No.160, Cipaganti",-6.894845600000001,107.6042299,OPERATIONAL,4.6,4151,"restaurant, food, point_of_interest, establishment",2
Shihlin - Cihampelas Walk,"Broadway Street Cihampelas Walk, Jalan Cihampelas No.160, Cipaganti",-6.8948142,107.6049463,OPERATIONAL,4.1,75,"restaurant, food, point_of_interest, establishment",Unknown
Warung Dalaraos,"Jalan Siliwangi No.43, Cipaganti",-6.8845234,107.6062175,OPERATIONAL,4.7,1730,"restaurant, food, point_of_interest, establishment",2
