name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Salsabila Kitchen,"Jalan Riung Hegar Raya No.10, Cipamokolan",-6.942624299999999,107.6787016,OPERATIONAL,4.4,5,"restaurant, food, point_of_interest, establishment",Unknown
siomay baper,"Jalan Rancaloa No.2, Cipamokolan",-6.941823299999999,107.6748452,OPERATIONAL,4.3,13,"restaurant, food, point_of_interest, establishment",1
WakWaw Fried Chicken,"3M5G+CWF, Jalan Cipamokolan Kolot, Cipamokolan",-6.9414494,107.677297,OPERATIONAL,4.2,28,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Pecel Lele Cipamokolan,"Jalan Raya Cipamokolan No.19, Cipamokolan",-6.9410569,107.6752359,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Goreng Suharti,"Jalan Soekarno-Hatta No.664, Cipamokolan",-6.938833599999999,107.6735093,OPERATIONAL,4.3,901,"meal_takeaway, restaurant, food, point_of_interest, establishment",2
Baso Tasik Saluyu,"Jalan Riung Saluyu B X No.3, Cipamokolan",-6.9518058,107.6826485,OPERATIONAL,4,15,"restaurant, food, point_of_interest, establishment",Unknown
MIE AYAM RICA PRATAMA,"Jalan Saluyu B X No.2, RT.10/RW.07, Cipamokolan",-6.9516506,107.6830096,OPERATIONAL,4.4,53,"restaurant, food, point_of_interest, establishment",Unknown
Soto Ayam Madura,"3M3G+88X, Cipamokolan",-6.946634400000001,107.675874,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Bayi Sehat d'kiddos,"3M3G+8C3, Cipamokolan",-6.946729599999999,107.6760523,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
You Boba,"Jalan Cipamokolan No.62-143, Cipamokolan",-6.9466726,107.6760543,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
"Bakso Rujak Endollita, 7ANTAN KITCHEN","Komplek Santosa Asih Jaya, Jalan Puri Asih Raya No.5, Cipamokolan",-6.946879999999999,107.6760436,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Ayam Putra Talaga,"3M3G+C92, Jalan Bina Asih Raya, Cipamokolan",-6.946497699999998,107.675887,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
kedai panjang,"3M3G+9FG, dalam RT.05/RW.3",-6.946564100000001,107.676209,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Hisana Fried Chicken Cipamokolan,"Jalan Cipamokolan No.62-1, Cipamokolan",-6.9467066,107.6762573,OPERATIONAL,3.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Bubur Kacang Ijo Madura Cipamokolan,Cipamokolan,-6.9468895,107.6762185,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Kang Idrus,"Jalan Cipamokolan No.48, Cipamokolan",-6.946425800000001,107.6761061,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung nasi SATIA DARMA,Jalan Cipamokolan,-6.9465526,107.6762898,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Teras Kembar,"Jalan Cipamokolan No.59, Derwati",-6.9463849,107.6762151,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown
