name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pepper Lunch,"Paris Van Java, Paris Van Java Mall Blok RL-A-08, Jl. Sukajadi No. 137 - 139, Cipedes",-6.889944,107.5958593,OPERATIONAL,4.3,463,"restaurant, food, point_of_interest, establishment",2
Zenbu PVJ,"Paris Van Java, Jalan Sukajadi No.131-139, Cipedes",-6.889580199999999,107.5958044,OPERATIONAL,4.7,2081,"restaurant, food, point_of_interest, establishment",2
Teratai Restaurant & Coffee Shop,"JL. Bungur No. 2, Cipedes,, Karang Setra Hotel, Spa & Cottages, Cipedes",-6.883284999999999,107.595559,CLOSED_TEMPORARILY,4.7,43,"restaurant, cafe, food, point_of_interest, establishment",Unknown
RM Saung Bale Kambang,"Jalan Bungur No.2, Cipedes",-6.8829406,107.5953811,OPERATIONAL,4.1,123,"restaurant, food, point_of_interest, establishment",2
Red Bean,"Paris Van Java, Jalan Sukajadi B No.131-139 Resort Level No.67, Cipedes",-6.888721,107.5956243,OPERATIONAL,3.5,21,"restaurant, food, point_of_interest, establishment",2
Dapur Ayu Gendis,"Paris Van Java, Jalan Sukajadi No.131-139, Cipedes",-6.889135899999999,107.5958648,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
"ToriKu PVJ ""Sate Jepang"" HALAL","Jalan Sukajadi No.131-139, Cipedes",-6.889219000000001,107.595995,OPERATIONAL,4.4,17,"restaurant, food, point_of_interest, establishment",Unknown
Rujak Jegeg,"Jalan Sukajadi No.181, Cipedes",-6.882518999999999,107.596293,OPERATIONAL,4,4,"restaurant, food, point_of_interest, establishment",Unknown
Tjendana Bistro,"Jalan Sukajadi No.181, Cipedes",-6.882562999999999,107.596396,OPERATIONAL,4.6,3080,"restaurant, food, point_of_interest, establishment",2
STARBUCKS • PVJ Mall,"Paris Van Java, Unit 16B, Jalan Sukajadi No.131-139, Cipedes",-6.8899048,107.5965035,OPERATIONAL,4.5,1846,"cafe, store, restaurant, food, point_of_interest, establishment",2
KFC,"Jalan Sukajadi No.137 - 139, Cipedes",-6.8900918,107.596464,OPERATIONAL,4.2,165,"restaurant, food, point_of_interest, establishment",2
A&W,"Paris Van Java, Mall Lt.CL #7, Jalan Sukajadi No.137-139, Cipedes",-6.889819499999999,107.5969122,OPERATIONAL,4.3,342,"restaurant, food, point_of_interest, establishment",2
Shihlin PVJ - Taiwan Street Snacks,"Jalan Sukajadi No.125, Cipedes",-6.8902106,107.5965015,OPERATIONAL,4.2,249,"restaurant, food, point_of_interest, establishment",2
