name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Happy Puppy Kopo Miko,Jalan Raya Kopo No.599,-6.960348899999999,107.5812904,OPERATIONAL,4.8,2106,"bar, night_club, restaurant, food, point_of_interest, establishment",2
Justus Steak House Miko Mall,"Ground, MIKO MALL, Jalan Raya Kopo No.599 Floor Lobby Level. 01, Cirangrang",-6.9602005,107.5810801,OPERATIONAL,4.4,519,"restaurant, food, point_of_interest, establishment",2
Soto Sulung,"Mikko Mall, Jalan Raya Kopo lantai 1, Cirangrang",-6.960114900000001,107.5809695,OPERATIONAL,4.3,17,"restaurant, food, point_of_interest, establishment",Unknown
HokBen - Miko Mall,"Miko Mall, Jalan Raya Kopo No.599 Lantai Dasar, Cirangrang",-6.960658199999999,107.581226,OPERATIONAL,4.3,655,"restaurant, food, point_of_interest, establishment",2
Domino's Pizza,"Jalan Raya Kopo No.599, Cirangrang",-6.9597582,107.5805544,OPERATIONAL,4.2,1517,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2
KFC,"Jalan KOPO NO. 599 BLOK 8 LT. DASAR, Cirangrang",-6.960001,107.580452,OPERATIONAL,4.4,1218,"restaurant, food, point_of_interest, establishment",2
Warung bakso dan seblak barokah,"2HVP+57W, Jl. Raya Kopo Jl. Sayangkaak Bandung, RT.4/RW.4, Cirangrang",-6.9569513,107.5857512,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
AZKA SATE SEAFOOD & SOSIS,"2HRP+R3H, Cirangrang",-6.9579374,107.5852298,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Dimsumparahyangan.co ( dimsum & coffe ),"2HVM+9XP, Jalan Kopo Sari, Cirangrang",-6.956527200000001,107.5849606,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown
Mie Rambay,Indonesia,-6.957943500000001,107.5850506,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Waceng (warung cenghar),"Gang PaAIP Jalan Lembayung No.06, RT.05/RW.04, Kopo Elok",-6.958025699999999,107.5852392,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Seafood Mas Beb's,Jalan Raya Kopo No.32,-6.957690800000001,107.5858296,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown
Baso ida,"Gg. PaAIP Jalan Lembayung No.06, RT.05/RW.04, Kopo Elok",-6.958114799999999,107.5852907,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Dapur mmh putri,"2HVM+9Q4, Gang Sayang Kaak, Cirangrang",-6.956602599999999,107.5844484,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam geprek mang ujang,"2HRM+QW6, Cirangrang",-6.958096599999998,107.5847776,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Adiba Cola,"2HVP+2F2, Cirangrang",-6.9574941,107.5861448,OPERATIONAL,5,12,"restaurant, food, point_of_interest, establishment",Unknown
Warung Mama Val,"Komplek Kopo Elok Jalan Terusan Lembayung No.22, RT.05/RW.04",-6.958249699999999,107.5854601,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
