name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Balibros,"Jalan Bulldozer No.79, Cisaranten Bina Harapan",-6.912788,107.6844613,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
NASI BAKAR ALPUKAT,"3MQM+2H2, Cisaranten Bina Harapan",-6.912477399999998,107.6838842,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Haazna food,"Jalan Bojong Awi Kidul No.31, RT.02/RW.04, Cisaranten Bina Harapan",-6.911672,107.6874299,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Chick'n Store,"3MPP+G2M, Jalan Bulldozer, Cisaranten Bina Harapan",-6.913662899999999,107.6850593,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Kedai AA,"Jalan Bulldozer No.105, Cisaranten Bina Harapan",-6.913185800000001,107.6842076,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
RM. Cahaya Fikhal,"JL Griya Cempaka Arum, Blok B 1, No.80, Cimencrang, Gede Bage, Cisaranten Bina Harapan",-6.9125441,107.6837101,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Bibi,3MRJ+J25Cisaranten Bina HarapanKec,-6.912555599999999,107.6836789,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Baso Mang Uloh,"Jalan Pawenang II No.38, Cisaranten Bina Harapan",-6.9115652,107.6877211,OPERATIONAL,5,14,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung Lotek dan Rujak Bu Nani,"3MQQ+735, Jalan Pawenang II, Cisaranten Bina Harapan",-6.911835,107.6877563,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Rm Rayhan Minang,"Jalan Cicukang No.18, Cisaranten Bina Harapan",-6.911942900000001,107.6832571,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bakso dan mie ayam mas thole,Jalan Cicukang No.202,-6.911992499999999,107.6832378,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Nasi goreng 83 Rai Raka,"RT03/RW08, Jalan Cicukang, karang mulya",-6.911992499999999,107.6832378,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
SEBLAK MA'QINAN,"Jalan Cicukang Gg. Warta RT.01/RW.08, Cisaranten Bina Harapan",-6.912216799999999,107.6832431,OPERATIONAL,4.9,10,"restaurant, food, point_of_interest, establishment",Unknown
Warmindo tikungan,"3MQM+479, Jalan Cicukang, Cisaranten Bina Harapan",-6.912216899999998,107.683243,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kang Asoy,"Jalan Cicukang No.20, Cisaranten Bina Harapan",-6.912080599999999,107.6831762,OPERATIONAL,4.4,21,"restaurant, food, point_of_interest, establishment",Unknown
INEVERLASHBEAUTY_BDGTMR,"Jalan Cicukang, Cisaranten Bina Harapan",-6.9118638,107.6831606,OPERATIONAL,5,2,"beauty_salon, restaurant, food, point_of_interest, establishment",Unknown
Warteg Berkah Bahari,Indonesia,-6.9129721,107.6832751,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
