name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
NELL’Q DIMSUM,"Komplek Bumi Parakan Asri Blok B No. 1, Jalan Cingised, Kelurahan Cisaranten Endah, Kecamatan Arcamanik, Cisaranten Endah",-6.9279177,107.6723421,OPERATIONAL,4.8,13,"restaurant, food, point_of_interest, establishment",Unknown
Mie Kojo,"Jalan Parakan Saat, Cisaranten Endah",-6.929088,107.6683303,OPERATIONAL,4.1,12,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Ibu Nanah,"Jalan Parakan Asri Dalam No.51, Cisaranten Endah",-6.930524699999999,107.6721178,CLOSED_TEMPORARILY,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Rakki Dimsum,"Jalan Parakan Asri Dalam No.60, RT.003/RW003, Cisaranten Endah",-6.930599000000001,107.6719548,OPERATIONAL,4.6,26,"cafe, restaurant, food, point_of_interest, establishment",Unknown
"Mie tulang dan salad buah ""DNR""","3M9C+MV3, Cisaranten Endah",-6.930861099999998,107.672172,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Lunak Sarimanis Parakansaat,"kp, Jalan Parakan Saat No.08, RT.06/RW.011, Cisaranten Endah",-6.930610500000001,107.6714934,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Threedee's homemade (martabak mini),"Jalan Parakan Asri Dalam No.39, RT.04/RW.03",-6.9314595,107.6722285,OPERATIONAL,5,18,"restaurant, food, store, point_of_interest, establishment",Unknown
"Lotek, Nasi Kuning Ibu Odah","Jalan Parakan Asri Dalam, Cisaranten Endah",-6.929939000000001,107.6718408,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung seblak ibu imas,"Jalan Parakan Asri Dalam No.15, RT.04/rw03, Cisaranten Endah",-6.931500499999999,107.6722257,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown
BPA C/21,"Komplek Bumi Parakan Asri blok C 21, Bumi Parakan Asri Blok C No.21, Cisaranten Endah",-6.929741099999999,107.6720888,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Lotek Teh Ita,"Jalan Parakan Saat III, Cisaranten Endah",-6.9297977,107.6711852,OPERATIONAL,4.7,58,"restaurant, food, point_of_interest, establishment",Unknown
Recipe Mamiza Ayam Cumi Udang Sapi Paru Siomay Hakau Dimsum,"Komplek Bumi Parakan Asri Blok C no. 5, Cisaranten Endah",-6.929386399999999,107.6718203,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Talago Minang,"Jalan Parakan Saat No.70, Cisaranten Endah",-6.932162300000001,107.6725657,OPERATIONAL,4.2,11,"restaurant, food, point_of_interest, establishment",Unknown
Sushi halal reunceum,"Komplek Griya Asri, Jalan Asri II Jalan Cingised No.kav 74, Cisaranten Endah",-6.928923099999999,107.6722999,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Rista's House,Perumahan Jalan Kompleks Griya Caraka Raya Blok BB1,-6.931389999999999,107.6738993,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Divanie cafe,"Jalan Asri II No.19, Cisaranten Endah",-6.928755499999999,107.6722528,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown
