name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung Lesehan Balegede,"3M2V+4VP, Jalan Rancapacing RT.02/RW.04",-6.949651599999999,107.694716,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
Dapur Nazria,"Jalan Rancapacing No.Rt 02/04, Cisaranten Kidul",-6.9496685,107.6950972,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Bintang,Indonesia,-6.9478837,107.6926291,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown
"Whoops Burger, Chicken, and Steak","Ruby Commercial No. 150, Summarecon Bandung",-6.9532649,107.6955277,OPERATIONAL,4.8,18,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Riverview,"3M2X+57Q, Jalan Rancapacing, Cisaranten Kidul",-6.9495374,107.6982495,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi,"3M2Q+V9M, Cisaranten Kidul",-6.9477788,107.6884314,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warjal,"3M3Q+4FX, Cisaranten Kidul",-6.947131799999999,107.6887277,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Kebuli Al-Ghazali sinpasa summarecon,Pasar modern sinpasa summarecon,-6.951448300000001,107.6980938,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung WARJAL,Indonesia,-6.9471307,107.6887004,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
BASO TEH PUTRI,"3M2Q+R8P, Jalan Gedebage Selatan, Cisaranten Kidul",-6.9479199,107.6883353,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warteg Pantura,"Jalan Gedebage Selatan No.107, Cisaranten Kidul",-6.948115199999998,107.6882065,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warteg Maemunah,"Jalan Gedebage Selatan No.111, Cisaranten Kidul",-6.9481112,107.6881919,OPERATIONAL,4.6,14,"restaurant, food, point_of_interest, establishment",Unknown
Warteg Aninar,"Jalan Gedebage Selatan No.98, Cisaranten Kidul",-6.947972200000001,107.6882028,OPERATIONAL,4.2,9,"restaurant, food, point_of_interest, establishment",Unknown
Padang Raya,"3M2Q+R7C, Jalan Gedebage Selatan, Cisaranten Kidul",-6.9479479,107.6881275,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Sawargi,"3M2Q+P5Q, Cisaranten Kidul",-6.9481726,107.6879815,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Warung Vitara,"Komplek Arisandi, Cisaranten Kidul",-6.9481741,107.6879588,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
PAV PIZZA SINPANSA SUMMARECON,Pasar sinpansa Summarecon,-6.952354399999999,107.6979958,OPERATIONAL,4.3,12,"restaurant, food, point_of_interest, establishment",Unknown
Adesha Nasi Padang,Summarecon bandung,-6.952473299999999,107.6979758,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Sop Soto Bu Nani Pasar Sinpasa Summarecon Bandung,"2MXX+266, Cisaranten Kidul",-6.9524561,107.6980029,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bandeng Cabut Duri Risala Sumarecon,"Sumarecon, Pasar Modern Sinpasa Sumarecon, Jalan Bulevar Teknopolis No.3, Cisaranten Kidul",-6.9521155,107.6982196,OPERATIONAL,4.8,6,"restaurant, food, point_of_interest, establishment",Unknown
