name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Ciskul Coffee,"Jalan Kuping Gajah No.26, Cisaranten Kulon",-6.9241829,107.6807693,OPERATIONAL,4.5,22,"restaurant, food, store, point_of_interest, establishment",Unknown
RM PADANG ANANDA A5,"Jalan Cisaranten Kulon No.33, Cisaranten Kulon",-6.924930799999999,107.6835405,OPERATIONAL,4.3,16,"restaurant, food, point_of_interest, establishment",Unknown
Raja Napogos Catering,Cisaranten Kulon,-6.924771,107.6852705,OPERATIONAL,4.4,61,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Permata Bundo,"Jalan Cisaranten Kulon No.47, Cisaranten Kulon",-6.933832000000001,107.679279,OPERATIONAL,4,15,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Tulang Lunak Mas Rohmat,"Jalan Cisaranten Kulon, Cisaranten Kulon",-6.934117199999999,107.6792513,OPERATIONAL,4.7,76,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Sambel Idjo Podomoro,"Jalan Cisaranten Kulon I No.53, Cisaranten Kulon",-6.925751900000001,107.6810602,OPERATIONAL,4.1,37,"restaurant, food, point_of_interest, establishment",Unknown
Do'a Ibu A. Mrs Kantin Rasa 2 Express Chinese Food,"Jalan Cisaranten Kulon 7 No.33, RT.09/RW.05, Cisaranten Kulon",-6.925710899999999,107.6804342,OPERATIONAL,4.7,54,"restaurant, food, point_of_interest, establishment",Unknown
Batagor,"3MFJ+VCR, Jalan I, Cisaranten Kulon",-6.925263399999999,107.6810275,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown
SiKwin Batagor & Siomay,"Jalan Cisaranten Kulon 6 No.23, Cisaranten Kulon",-6.9262032,107.6806176,OPERATIONAL,5,3,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Warung Sunda Kintani,Jalan Cisaranten Kulon 5 No.1,-6.926382599999999,107.6806249,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
PempeQin Heula,"Jalan 5, Cisaranten Kulon",-6.926404,107.680178,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
warung mamih lea,"Jalan Cisaranten Kulon 7 No.18, Cisaranten Kulon",-6.9259479,107.6816432,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
TIGA MANGKOK DAPUR,"Jalan Cisaranten Kulon 6 No.12, Cisaranten Kulon",-6.926306299999999,107.681513,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
RAJANA TAKOYAKI ANTAPANI,"Jalan Cisaranten Kulon 5 No.22, Cisaranten Kulon",-6.926691799999999,107.6810417,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Goresto Ayam Geprek & Bakar Dapur Mozza,"Jalan Cisaranten Kulon 5 No.23, Cisaranten Kulon",-6.9263835,107.6799413,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Dapoer Ciskul,"Jalan Cisaranten Kulon 5 No.8, Cisaranten Kulon",-6.9267952,107.6812862,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Bengawan,"3MFJ+66C, Jalan Cisaranten Kulon IV, Cisaranten Kulon",-6.9269297,107.6805251,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Sawin,"Jalan Cisaranten Kulon IV No.33, Cisaranten Kulon",-6.926936000000001,107.6805149,OPERATIONAL,4.2,9,"restaurant, food, point_of_interest, establishment",1
