name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Baso Bengawan 55,"Jalan Cisaranten Wetan No.75, Babakan Penghulu",-6.9244859,107.6878318,OPERATIONAL,4.5,10,"restaurant, point_of_interest, food, establishment",Unknown
DEM-21 Foodiez Moodiez,"Jl. Golf No 37 Cisaranten Wetan no.37 RT.02/ RW.02. Kel. Cisaranten wetan Kel, Cisaranten Wetan",-6.9241061,107.6876355,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Sabana Fried Chicken Cinambo,"3MGQ+459, Jalan, Cisaranten Wetan",-6.9247174,107.687971,OPERATIONAL,3.7,3,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown
Pempek Ampera Cinambo,"3MGQ+445, Jalan, Cisaranten Wetan",-6.9247404,107.6878664,OPERATIONAL,4.3,4,"restaurant, point_of_interest, food, establishment",Unknown
Bunny Crepes Cinambo Bandung,"3MGQ+43F, Cisaranten Wetan",-6.924698299999999,107.6876688,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
PECEL LELE MBAK MUN,"Jalan Cinambo No.201B, Cisaranten Wetan",-6.9248278,107.6879726,OPERATIONAL,4.8,4,"restaurant, point_of_interest, food, establishment",Unknown
Warung nasi brebes tegal sida abadi,"Jalan Cinambo No.149, Cisaranten Wetan",-6.9248047,107.6881808,OPERATIONAL,5,9,"restaurant, point_of_interest, food, establishment",Unknown
NU_SIMOMI,"3MGQ+G77, Gang H. Ma'ruf, Cisaranten Wetan",-6.923723799999999,107.6881663,OPERATIONAL,4,1,"restaurant, point_of_interest, food, establishment",Unknown
Ciswet Fish,"3MGQ+228, Jalan, Cisaranten Wetan",-6.924954199999998,107.6875684,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
sate seafood meow and drink,"3MGQ+J35, Jalan Cisaranten Wetan Gang Madja, Cisaranten Wetan",-6.923488500000001,107.687722,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
DAPOER BEBEK ASEP,"Jalan Cisaranten Wetan No.118, Cisaranten Wetan",-6.924985800000001,107.6873983,OPERATIONAL,4.3,84,"restaurant, point_of_interest, food, establishment",Unknown
home sahrul,"Gang H. Mariam, Cisaranten Wetan",-6.9244481,107.6870419,OPERATIONAL,5,4,"restaurant, point_of_interest, food, establishment",Unknown
Taupan sugiri,"3MGQ+J25, Jalan Cisaranten Wetan, Cisaranten Wetan",-6.923478299999999,107.6876144,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Kedai baso & mie ayam sukaluyu 3,"3MFP+XVW, Jalan Cisaranten Wetan, Cisaranten Wetan",-6.925017599999999,107.6872018,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Reva's kitchen,"Jalan Pesona III No.11 Blok F, Cisaranten Wetan",-6.924032399999999,107.6868172,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Pesona Resto,Cisaranten Wetan,-6.923850399999999,107.6868648,OPERATIONAL,4.9,10,"restaurant, point_of_interest, food, establishment",Unknown
Warung Seblak Zilmi,"Jalan Cinambo No.148, Cisaranten Wetan",-6.924704299999998,107.6889101,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
