name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
NaYuki Dimsum,"Jalan Mengger Girang No.2, Pasirluyu",-6.949731000000001,107.6141273,OPERATIONAL,4.4,9,"meal_delivery, restaurant, food, point_of_interest, establishment",Unknown
Bebek Benyek & Kafe Abahku,"Jalan Mochammad Toha No.295, Ciseureuh",-6.950496999999999,107.610291,OPERATIONAL,4.7,19,"restaurant, food, point_of_interest, establishment",Unknown
Tahu saos bi tata,"jl moch toha komplek, Jalan PLN Cigereleng No.102b, Ciseureuh",-6.95076,107.6125669,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Kupat Tahu Singa Parna Doel,"Komplek, Jalan PLN Cigereleng No.107A 203D",-6.9511078,107.612861,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown
Cembokur Eatery’s,"Jalan PLN Cigereleng No.106, Ciseureuh",-6.951078499999999,107.6125949,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Lotek Bude,"Gg.Pondok Rosa II No.41, RT.02/RW.01, Lembang",-6.950109,107.6135801,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Warung Dadakan Ma Ebb,"3J27+2CP, Ciseureuh",-6.949904,107.6135892,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek Dinda,Ciseureuh,-6.9500382,107.6137405,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Makan Bu Cucu,"2JX6+JRR, Ciseureuh",-6.950882500000001,107.6120198,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Kantin PLN APB Jabar,"PT. PLN (Persero) APB JABAR, Ciseureuh",-6.949761599999999,107.6125133,OPERATIONAL,4.4,10,"restaurant, food, point_of_interest, establishment",Unknown
Lontong Kari Spesial,"JL PLN, No. 100/203 B, Cigereleng, Ciseureuh",-6.9507222,107.6118667,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ayam cihuy,"Jalan PLN Dalam I No.3, Ciseureuh",-6.9518515,107.6124635,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Ayam geprek sariwangi,"2JX7+637, Unnamed Road, Ciseureuh",-6.9519636,107.6126797,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Gorengan teh wiwin,"Jl pln dalam 73, Jalan PLN Dalam No.73",-6.9518808,107.6121304,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown
