name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung Wetland,"3PVF+PHQ, Jalan Cilengkrang 1, Cisurupan",-6.905668399999999,107.723994,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
Mie Ayam Bakso Berkah Razka,"Jalan Cilengkrang 1 RT.02 rw08, Cisurupan",-6.9038559,107.7237846,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Dapoer ummah (mentai_ngehits),"3PWF+FH7, Jalan Cilengkrang 1, Cisurupan",-6.9038411,107.7239136,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
D'kriuk Fried Chicken,"Jalan Cilengkrang 1, Cisurupan",-6.9068221,107.7248864,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
Waroeng Yoenshi,"3PWC+FW5, Jalan Nagrog, Cisurupan",-6.903787899999999,107.7223678,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Vrt,"3PVF+3V7, Cisurupan",-6.907345899999999,107.7246639,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Nyeblak Teh Ama,"3PWF+QW8, Cisurupan",-6.9032335,107.7247879,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Warung Khanza 354,"3PWC+HR5, Cisurupan",-6.9036167,107.7220958,OPERATIONAL,5,6,"restaurant, point_of_interest, food, establishment",Unknown
Hayam Raos,"Komplek Puskopad no.195 rt5 rw8, Cisurupan",-6.903786900000001,107.7214226,OPERATIONAL,4.8,6,"restaurant, point_of_interest, food, establishment",Unknown
Mie Ayam I Miss You,Indonesia,-6.908052800000001,107.7248442,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Tahu Walik Kriuk Mah Lula,"3PVG+CJC, Jalan Cigagak Cipadung RT.05/RW.07, Cisurupan",-6.906438400000001,107.7265266,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Kay Catering Bandung,"3PWC+C7W, Cisurupan",-6.9040249,107.7208792,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Warung Peyek Tante,"Komplek Puskopad No.42, Cisurupan",-6.902502099999999,107.7216175,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
TAKOYAKI & SEBLAK PARASMANAN DAPUR BUNDA,"Kp Jalan Cigagak Cipadung No.22, RT.05/RW.06, Cisurupan",-6.909059099999999,107.7228569,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown
Ayam Bakar Citra Rasa,"3PRF+7G9, Jalan Cilengkrang 1, Palasari",-6.9093258,107.7238562,OPERATIONAL,4,1,"restaurant, point_of_interest, food, establishment",Unknown
Warung Nasi Sederhana Sami Rasa,"Jalan Cilengkrang 1 No.50, Cisurupan",-6.9093291,107.7238679,OPERATIONAL,4.3,6,"restaurant, point_of_interest, food, establishment",Unknown
Wr Doa Abah,Indonesia,-6.909503699999999,107.7235242,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
