name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Paradesa Warong,"Jalan Pagermaneuh No.544A, Ciumbuleuit",-6.856451999999999,107.6112892,OPERATIONAL,4.3,54,"restaurant, point_of_interest, food, establishment",Unknown
The Restaurant - Padma Hotel Bandung,"Jalan Rancabentang No.56-58, Ciumbuleuit",-6.8643331,107.6088677,OPERATIONAL,4.6,1752,"restaurant, point_of_interest, food, establishment",3
Resto & Cafe Concordia,"Jalan Kiputih No.12, Ciumbuleuit",-6.8669604,107.6091398,OPERATIONAL,4.4,43,"cafe, restaurant, point_of_interest, food, establishment",Unknown
Tongkrongan_id (tK),"Jalan Rereongan Sarupi No.20a, Ciumbuleuit",-6.8622494,107.6052893,OPERATIONAL,4.6,36,"cafe, store, restaurant, point_of_interest, food, establishment",1
Miss Bee Providore,"Jalan Rancabentang No.11A, Ciumbuleuit",-6.8683101,107.6091653,OPERATIONAL,4.7,8426,"restaurant, point_of_interest, food, establishment",3
Rumah Makan Padang Sambalado,"Jalan Ciumbuleuit No.172, Ciumbuleuit",-6.864941599999999,107.6055757,OPERATIONAL,4.2,45,"restaurant, point_of_interest, food, establishment",Unknown
Bumi Sangkuriang & Concordia Hotel,"Jalan Kiputih No.12, Ciumbuleuit",-6.867029299999999,107.609031,OPERATIONAL,4.5,4241,"lodging, restaurant, point_of_interest, food, establishment",Unknown
DAGOCAT CATERING SERVICE,Ciumbuleuit,-6.861061,107.6129243,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Bakso dan cilok mak asih,"4JQ7+P8H, Kp.cipicung hilir, kel RT.06/RW.02, Ciumbuleuit",-6.860677900000001,107.6133442,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
warung baso mas joko,"4JQ6+JV7, Unnamed Road, Ciumbuleuit",-6.860951099999999,107.6121761,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Warung seblak arin,"Ciumbuleuit, Jalan Cipicung Hilir No.rt 02, rw02",-6.860106,107.6128264,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Lestari food & cookies,"4JR7+383, Ciumbuleuit",-6.859862300000001,107.6132857,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Aboy Homies,"4JQ7+XG5, Ciumbuleuit",-6.860108599999999,107.6138485,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Pakar Arsik,Ciumbuleuit,-6.8608097,107.6117462,OPERATIONAL,5,2,"store, restaurant, point_of_interest, food, establishment",Unknown
Warung Rkr,"4JQ6+FM4, Ciumbuleuit",-6.861370599999999,107.6117093,OPERATIONAL,5,5,"restaurant, point_of_interest, food, establishment",Unknown
Garlic (Chinese and Indonesia Food),"4JQ7+264, Jalan Cipicung Hilir, Ciumbuleuit",-6.862476099999999,107.6130765,OPERATIONAL,4.8,4,"restaurant, point_of_interest, food, establishment",Unknown
Pakar Arsik,Jalan Cipicung Hilir,-6.861191000000001,107.6113968,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Punclut,"No.180m, Jalan Bukit Raya Atas No.180, Ciumbuleuit",-6.858629700000001,107.612654,OPERATIONAL,4.7,669,"restaurant, point_of_interest, food, establishment",2
Thai Palace,Ciumbuleuit,-6.858629700000001,107.612654,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Kedai Lumintu,"Jalan Bukit Raya Atas No.223, Ciumbuleuit",-6.8592676,107.609807,OPERATIONAL,4.9,14,"restaurant, point_of_interest, food, establishment",Unknown
