name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Nasi Kuning BUHUN,"Rusunawa Rancacili Twin Blok 3, Derwati",-6.9605013,107.6800649,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Dapur Tatih,"Jalan Inten Sejahtera III No.05, Derwati",-6.9623424,107.6833843,OPERATIONAL,4.8,8,"restaurant, point_of_interest, food, establishment",Unknown
SushiMo,"D’Royal Bandung Indah Inten, Jalan Inten Sejahtera II No.A1 -14, Derwati",-6.961581199999999,107.6839678,OPERATIONAL,5,16,"restaurant, point_of_interest, food, establishment",Unknown
Pisang Dan Ubi Nugget iiihhh,"2MPJ+HVC, Derwati",-6.963572799999999,107.6821538,OPERATIONAL,4.4,5,"restaurant, point_of_interest, food, establishment",Unknown
Baso mas bari,"rt02 rw04, Jalan Raya Derwati",-6.963485599999999,107.6825171,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Sate Rembiga Bandung,"Perumahan Bandung Inten, Jalan Inten Bahagia I No.13 A6 No",-6.960798500000001,107.6841493,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Kedai Chicken Family,"Jalan Bandung Inten Indah No.11 Blok B10 No.11, Derwati",-6.962357,107.6839791,OPERATIONAL,3.4,5,"restaurant, point_of_interest, food, establishment",Unknown
Seblak prasmanan teh nia,"Jalan Raya Derwati gang Mbah bais No.48, RT.01/RW.03, Derwati",-6.963790099999999,107.6814891,OPERATIONAL,5,9,"restaurant, point_of_interest, food, establishment",Unknown
Nugraha food,"Gang Amil No.38, Bodogol, Derwati",-6.9637979,107.6815073,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Ayam goreng sehati rancasari,Rusunawa rancacili twin blok 1 lantai dasar no.10,-6.960751299999999,107.6791572,CLOSED_TEMPORARILY,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Seafood Nazwa Zahira,Derwati,-6.963625,107.6828971,OPERATIONAL,4.9,13,"restaurant, point_of_interest, food, establishment",Unknown
Baso Ceu Atik,"Jalan Raya Derwati No. 06. Rw.003/No.Rt. 003, Derwati",-6.963970799999999,107.681873,OPERATIONAL,4,6,"restaurant, point_of_interest, food, establishment",Unknown
Jajanan Viral,"2MQH+JHH, Derwati",-6.9609432,107.6789946,OPERATIONAL,5,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown
Dimsum.08,"Jalan Raya Derwati No.04/04, Derwati",-6.963667000000001,107.683198,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Rumah Pak Oan,"2MPM+G7P, Jl derwati gg pakgoh, RT.005/RW.004",-6.963667000000001,107.683198,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
"Pondok Baso Dua Putri ,Swadaya","2MPJ+G3X, Derwati",-6.963643299999999,107.6802266,OPERATIONAL,3,2,"restaurant, point_of_interest, food, establishment",Unknown
Pempek Turbo,"Perumahan Bandung Inten Indah Blok. C1 No. 7 Kel, Jalan Inten Mulia No.mor. 7 Blok. C1, Derwati",-6.9626622,107.6845417,OPERATIONAL,4.2,5,"restaurant, point_of_interest, food, establishment",Unknown
"Kabobs - Premium Kebab, Griya Derwati","Jalan Raya Derwati No.45, Bodogol, Derwati",-6.9643107,107.6810483,OPERATIONAL,4.6,63,"restaurant, point_of_interest, food, establishment",Unknown
Ramen Bajuri Derwati,"Jalan Raya Derwati No.46, Derwati",-6.9643967,107.6815061,OPERATIONAL,4.3,1161,"restaurant, point_of_interest, food, establishment",2
"Warung Seblak ""Cimin Bunda""","2MPJ+782, Jalan Raya Derwati, Derwati",-6.964363,107.6807655,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
