name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Surabi Imut,"CI KOpi LOkal, cabang jalan Gandapura no 40, Jalan Gegerkalong Hilir No.55, RT.07/RW.04, Gegerkalong",-6.8684875,107.5922373,OPERATIONAL,4.3,450,"restaurant, food, point_of_interest, establishment",2
Kedai Timbel Gerlong,Jalan Gegerkalong Hilir No.128,-6.868274299999999,107.5851323,CLOSED_TEMPORARILY,3.9,37,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Bandung,Jl. Fajar Raya B2 No. 35 Gegerkalong Sukasari Bandung Jawa Barat,-6.871732300000001,107.5916144,OPERATIONAL,3,3,"restaurant, food, point_of_interest, establishment",Unknown
Breakfast Sibolang Khas Cianjur,"Jalan Gegerkalong Tengah No.5, Gegerkalong",-6.8678932,107.5914717,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Hotel Salon Fora &LongHill Cafe Fora,"Jalan Gegerkalong Hilir No.8, Gegerkalong",-6.870270000000001,107.5930398,OPERATIONAL,4.1,804,"lodging, beauty_salon, restaurant, food, point_of_interest, establishment",Unknown
Pizza Hut Delivery - PHD Indonesia,"Jalan Doktor Setiabudi No.171, Gegerkalong",-6.8680872,107.5934399,OPERATIONAL,4.6,458,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2
Dapoer Ndeso Setiabudi,"Jalan Doktor Setiabudi No.159, Gegerkalong",-6.867006399999998,107.5937699,OPERATIONAL,4,427,"cafe, restaurant, food, point_of_interest, establishment",2
angkringan KODRIGER. (BAKSO CEPOT & CAFE),"Jalan Gegerkalong Girang No.81A, Gegerkalong",-6.863523299999999,107.5892381,CLOSED_TEMPORARILY,4.5,36,"cafe, restaurant, food, point_of_interest, establishment",Unknown
Dunkin Donuts (Dunkindo Abadi. CV),"Jalan Doktor Setiabudi No.103-F, Gegerkalong",-6.8716681,107.5938005,OPERATIONAL,4.5,205,"bakery, restaurant, food, store, point_of_interest, establishment",2
by ludwick,"Jalan Budi Luhur I No.11B, RT.07/RW.05, Gegerkalong",-6.8727686,107.5931443,OPERATIONAL,4.4,1302,"cafe, restaurant, food, point_of_interest, establishment",2
Bakar_bakaran,"Jalan Gegerkalong Girang No.105, Cigugur Girang",-6.8631308,107.588243,OPERATIONAL,4.6,23,"restaurant, food, point_of_interest, establishment",Unknown
Bakmi Mama Pici,"Jalan Abadi I No.7, Gegerkalong",-6.863657799999999,107.5853234,OPERATIONAL,4.6,33,"restaurant, food, point_of_interest, establishment",Unknown
Ratu Jengki,"Jalan Gegerkalong Girang No.149, Gegerkalong",-6.862358799999999,107.5857926,OPERATIONAL,4.4,56,"restaurant, food, store, point_of_interest, establishment",2
KFC Setiabudi Bandung,"Jalan Doktor Setiabudi No.169, Gegerkalong",-6.868289000000001,107.5934289,OPERATIONAL,4.4,6220,"restaurant, food, point_of_interest, establishment",2
Ayam Bakar Pa' atam,"Jalan Gegerkalong Girang No.154, Gegerkalong",-6.8617693,107.5838488,OPERATIONAL,4.5,107,"restaurant, food, point_of_interest, establishment",1
Rumah Makan Tegal,"Jalan Gegerkalong Hilir No.84, Gegerkalong",-6.869217599999999,107.5883447,OPERATIONAL,4.4,18,"restaurant, food, point_of_interest, establishment",Unknown
