name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Warung Nasi Ibu Yati,"Jalan Pasir Impun Atas No.80, Gempolsari",-6.9310139,107.5572825,OPERATIONAL,4.2,5,"restaurant, point_of_interest, food, establishment",Unknown
Kedai Dapoer Bunda,"Jalan Bougenville VIII No.6, Gempolsari",-6.9315529,107.5535797,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
megan cantik,"Jalan Mirabilis I No.8, Gempolsari",-6.931907499999999,107.5536519,CLOSED_TEMPORARILY,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Rumah pempek bicek iche,"Jalan Dirgantara VI No.26D, Gempolsari",-6.931404,107.5524079,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown
Pypop,"Jalan Mirabilis I No.32, Gempolsari",-6.9324491,107.553344,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
Teras Bougenville,"Jalan Bougenville V No.22, Gempolsari",-6.930650099999999,107.5532955,OPERATIONAL,4.8,9,"restaurant, point_of_interest, food, establishment",Unknown
Ayam Bakar Taliwang Ampenan,"Jalan Marga Asri II No.77, Gempolsari",-6.9321905,107.5524763,OPERATIONAL,3.7,9,"restaurant, point_of_interest, food, establishment",Unknown
D'Chick,"Jalan Tulip III No.5, Gempolsari",-6.9312798,107.5542483,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown
Kyosh Coffee,"Jalan Bougenville IV No.18, Gempolsari",-6.9304882,107.5535229,OPERATIONAL,5,3,"cafe, store, restaurant, point_of_interest, food, establishment",Unknown
ROTI BOKIR,"Jalan Bougenville IV No.18, KOMP GEMPOL SARI INDAH",-6.930464999999999,107.5535383,OPERATIONAL,4.5,8,"restaurant, point_of_interest, food, establishment",Unknown
Kedai dimsum teh geulis,"Jalan Bougenville II No.5, Gempolsari",-6.930572600000001,107.5540073,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
Mie Huh Hah bandung kulon,"Indah, Jalan Mirabilis III No.40, Gempolsari",-6.932511799999999,107.5541314,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Lontong Kari Sapi & Ayam,"Jalan Bougenville II No.7, Gempolsari",-6.9305024,107.5539268,CLOSED_TEMPORARILY,5,1,"restaurant, point_of_interest, food, establishment",Unknown
KEDAI RISOLES KENZIE',"Jl Bougenville ll No.5, RT.01/RW.04, Gempolsari",-6.9305199,107.5539592,OPERATIONAL,3.9,7,"restaurant, point_of_interest, food, establishment",Unknown
Kebuli Yang Dinanti - Gempol Sari Indah by Abada,"Komplek Gempol Sari Indah Jalan Bougenville II No.9, RT.01/RW.04",-6.930456599999999,107.553857,OPERATIONAL,4.9,207,"cafe, store, restaurant, point_of_interest, food, establishment",Unknown
Sate asin pedas sajian spesial bang bombom,"Jalan Tulip I No.6, Gempolsari",-6.930933299999999,107.5543638,OPERATIONAL,5,8,"restaurant, point_of_interest, food, establishment",Unknown
Milky Moo Cereal Infused Milk,"Jalan Marga Asri VI No.145, Gempolsari",-6.932673800000001,107.5519065,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Esa mie baso restorja,"Komplek Bumi Asri, Jalan Kalpataru I Blok D No.36, RT.01/RW.09, Gempolsari",-6.933403699999999,107.5530766,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown
Nasi goreng Dug Dug,"3H82+RMG, Jalan Marga Asri III, Gempolsari",-6.9329497,107.5517065,OPERATIONAL,3.7,3,"restaurant, point_of_interest, food, establishment",Unknown
The Angkringan Jogjakarta,"Jl Dirgantara raya no VI, RT.07/RW.05, Gempolsari",-6.9312323,107.5512083,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown
