name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Bakmi Jowo Anglo,"Jalan Abdul Rahman Saleh No.94, Husen Sastranegara",-6.9070901,107.5798068,OPERATIONAL,4.4,132,"restaurant, food, point_of_interest, establishment",1
Seblak & Shisha Melenooy,"No., Jalan Abdul Rahman Saleh No.34, Husen Sastranegara",-6.907343,107.5837285,OPERATIONAL,4,9,"restaurant, food, point_of_interest, establishment",Unknown
Topan Akmas,"Bandara Husein Sastranegara, Jalan Pajajaran, Husen Sastranegara",-6.903753,107.579048,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Smoking Area Roof Bandara Husein Sastranegara,"Jalan Pajajaran No.156, Husen Sastranegara",-6.903911300000001,107.5801569,OPERATIONAL,4.5,4,"restaurant, food, point_of_interest, establishment",Unknown
Bangi Kopi,"Area Check In Boarding, Jalan Pajajaran Jalan Bandara Husein Sastranegara No.156, Husen Sastranegara",-6.9038789,107.5802393,OPERATIONAL,4.1,7,"restaurant, food, point_of_interest, establishment",Unknown
Rumah Makan Btri,"Jalan Pajajaran No.156, Pajajaran",-6.9038984,107.580206,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Abah,"Jalan Pajajaran No.156, Area Kargo Bandara Husein Sastranegara, Cicendo, Husen Sastranegara",-6.904112899999999,107.5789788,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Arema,"Area Parkiran, Jalan Pajajaran Jalan Bandara Husein Sastranegara No.156, Husen Sastranegara",-6.904096399999999,107.579975,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Uwa,"Jalan Pajajaran No.156, Area kargo Bandara Husein Sastranegara, Cicendo, Husen Sastranegara",-6.904255999999998,107.5788177,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kantin puspa,"Jalan Pajajaran No.156, Area Cargo, Bandara Husen Sastranegara, Husen Sastranegara",-6.904493,107.579192,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Sumber Rezeki,"Jalan Pajajaran No.156, Area Parkir, Bandara Husen Sastranegara, Husen Sastranegara",-6.904521000000001,107.579188,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Cak Eko,"Jalan Pajajaran No.235, Husen Sastranegara",-6.904514000000001,107.5802587,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Corner Satay at BDO Airport,"Area Parkir Bandara Husein Sastranegara, Jalan Pajajaran No.156, Husen Sastranegara",-6.905033500000001,107.5789832,OPERATIONAL,4.4,98,"restaurant, food, point_of_interest, establishment",Unknown
Kantin Tiktok,"Jalan Pajajaran No.158 Area Parkir Bandara Husein Sastranegara Gedung Komersil Baru Lt. 3 kavling no. 55, Husen Sastranegara",-6.905061699999999,107.5795389,OPERATIONAL,4.2,14,"restaurant, food, point_of_interest, establishment",Unknown
Pujasera Bandara Husein Sastranegara,"3HVH+XRG, Husen Sastranegara",-6.905069599999999,107.5795629,OPERATIONAL,4.1,311,"restaurant, food, point_of_interest, establishment",2
Lumpiah basah Kanaya,"Jalan Maleber Utara samping rel KA No.187A, Garuda",-6.9061191,107.5775808,OPERATIONAL,4.2,5,"restaurant, health, store, food, point_of_interest, establishment",Unknown
Warung Nasi Tiga Putra Sadewata,"3HWM+24Q, Husen Sastranegara",-6.904907199999999,107.5828464,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown
Pecel madiun barokah,"3HVH+8QC, Jalan Nurtanio Utara, Husen Sastranegara",-6.906676999999999,107.5793804,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown
Pujas 179,"Universitas Nurtanio Bandung, Jalan Pajajaran No.219",-6.9062145,107.5817133,OPERATIONAL,4.7,12,"restaurant, food, point_of_interest, establishment",Unknown
Martabak Siram TwoinC,"Jalan Pajajaran No.219, Husen Sastranegara",-6.9064112,107.5816583,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
