name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Hardy'S Dining Room,"Jalan Doktor Setiabudi No.269 275, Isola",-6.854997900000001,107.5946066,OPERATIONAL,4.6,134,"restaurant, food, point_of_interest, establishment",Unknown
Bakmi Ayam Parahyangan,"Jalan Doktor Setiabudi No.170, Isola",-6.855822,107.594542,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Jing Paradise Chinese Fine Dining Restaurant,"Jalan Doktor Setiabudi No.269-275, Isola",-6.854843,107.5956421,OPERATIONAL,4.6,1283,"restaurant, food, point_of_interest, establishment",3
Brick & Barrel Bistro,"Jalan Sersan Bajuri No.100, Isola",-6.8488419,107.5918932,OPERATIONAL,4.1,62,"restaurant, food, point_of_interest, establishment",2
Kedai bang dzakk,"Jl negla pojok rt07/04 no 6b, Isola",-6.8535778,107.5923835,OPERATIONAL,Unknown,Unknown,"store, restaurant, food, point_of_interest, establishment",Unknown
Warung Baba Khayya,"Jalan Negla Tengah Jalan Negla No.47, RT.5/RW.4, Isola",-6.8542286,107.5930183,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Teras 33,"Lapang Nangka Pojok, Jalan Negla Pojok No.33, RT.07/RW.04, Isola",-6.853010299999998,107.5923866,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown
Dapoer_N'coy,"Gang Negla Tengah 2 No.38, Isola",-6.854437099999999,107.5927705,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Yellow House,"4HWR+QR9, Jalan Negla, Isola",-6.8530817,107.5921205,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Kenzi,"Jalan Negla Pojok No.40, Isola",-6.8529858,107.5921308,OPERATIONAL,4.5,4,"restaurant, food, point_of_interest, establishment",Unknown
Warung ayam goreng ibu siti sersan bajuri,Jalan Sersan Bajuri No.67,-6.8535372,107.5917892,OPERATIONAL,5,9,"restaurant, food, point_of_interest, establishment",Unknown
Batagor Negla,"Jalan Doktor Setiabudi Jalan Negla Utara 179 / 171 A, Isola",-6.854628900000001,107.5935582,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown
Warung Nasi Ema Ai,"4HWV+5FQ, Isola",-6.8545269,107.5937227,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown
Rm Bungo Tanjuang Masakan Padang,"Jalan Sersan Bajuri No.62, Isola",-6.853727999999999,107.5917313,OPERATIONAL,4.1,20,"restaurant, food, point_of_interest, establishment",Unknown
Karwati's Diner,"4HWR+9M8, Jalan Sersan Bajuri, Isola",-6.8540889,107.591706,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Ibu Yati Lotek,"4HWR+CM6, Jalan Sersan Bajuri, Isola",-6.853971999999998,107.591656,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Mie ayam dan baso podomoro,"Jalan Negla Utara No.14, Isola",-6.8546846,107.5938011,OPERATIONAL,4.1,9,"restaurant, food, point_of_interest, establishment",Unknown
