name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Bakso-Ndeso,"Jalan Mandala IX No.83, Jatihandap",-6.891012900000001,107.664644,OPERATIONAL,3.8,17,"restaurant, food, point_of_interest, establishment",Unknown
NASI GORENG KING 99,"Jl. Raya Cikadut No.4, Karang Pamulang, Mandalajati, Kota Bandung, Jawa Barat 40194, Jatihandap",-6.902722699999999,107.6659139,OPERATIONAL,4.8,56,"restaurant, food, point_of_interest, establishment",Unknown
Hafor Shop,"City Garden Residence, Blok E No.42, Jatihandap",-6.8955628,107.662908,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
ISWARA Kitchen City Garden Residence E44 (tidak lewat dari Jl. Jatihandap),Jatihandap,-6.895628899999999,107.662813,CLOSED_TEMPORARILY,Unknown,Unknown,"bakery, store, restaurant, food, point_of_interest, establishment",Unknown
"Fontana Connexion No. 10, City Garden Residence","Fontana Connexion No. 10, City Garden Residence, Jatihandap",-6.895681400000001,107.6619078,OPERATIONAL,4.6,10,"restaurant, food, point_of_interest, establishment",Unknown
Baso bu asri,"4M47+87H, Jatihandap",-6.894188199999999,107.6632302,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Teh Rinrin,"4M47+87H, Jatihandap",-6.894187499999999,107.6632344,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
"Baso Yan Yan, Jatihandap Timur 19","Jalan Jatihandap Gang Barokah 4 No.19, RT.004/RW.007, Jatihandap",-6.895811599999999,107.6616346,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown
Ayam Geprek & Burger Kang Ewok,Jalan Jatihandap Timur No 12 Rt.05/09,-6.8941683,107.6619947,OPERATIONAL,4.6,54,"restaurant, food, point_of_interest, establishment",Unknown
Seblak Pedas Mitoha,"Jl. Jati Handap Timur, Gg Mekar II RT.05 RW.09 Kel. Jatihandap, Cicaheum",-6.894093799999999,107.6620594,OPERATIONAL,3,3,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Jamming,"Gang Mekar II No.28, Jatihandap",-6.894161899999999,107.6619034,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Warung Pujangga,"Jalan Jatihandap Timur, Jatihandap",-6.8940686,107.661988,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
Bakso Solo Boga Rasa,"Jalan Jatihandap, Jatihandap",-6.895873999999999,107.6609462,OPERATIONAL,4.8,9,"restaurant, food, point_of_interest, establishment",Unknown
SIOMAY ACIL GARSEL,"4M36+4GX, Jalan Jatihandap Timur RT./07/RW./07",-6.897145699999999,107.6613468,OPERATIONAL,4.3,3,"restaurant, food, point_of_interest, establishment",Unknown
BASO TAHU Putra GARSELA,"Gang Kolecer Jalan Jatihandap Timur No.275 07, RT./Rw/RW.: 07",-6.897270299999999,107.6613771,OPERATIONAL,4.7,7,"restaurant, food, point_of_interest, establishment",Unknown
Nelson boga rasa,"Jalan Jatihandap Timur No.111 rt 04 /07, Cicaheum",-6.893407599999999,107.6621925,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown
Baso Tahu Padasuka,"4M36+C9J, Jatihandap",-6.8964113,107.6608789,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown
Kedai Barokah,"Jalan Jatihandap Timur Gang Barokah II No.102 rt 04, samping",-6.8962438,107.6608057,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown
